frequency_MHz,experimental_data,reference_fit,adaptive_fit_10_points,adaptive_fit_11_points,adaptive_fit_12_points,adaptive_fit_13_points,adaptive_fit_14_points,adaptive_fit_15_points,adaptive_fit_16_points,adaptive_fit_17_points,adaptive_fit_18_points,adaptive_fit_19_points,adaptive_fit_20_points,adaptive_fit_21_points,adaptive_fit_22_points,adaptive_fit_23_points,adaptive_fit_24_points,adaptive_fit_25_points,adaptive_fit_26_points,adaptive_fit_27_points,adaptive_fit_28_points,adaptive_fit_29_points,adaptive_fit_30_points,adaptive_fit_31_points,adaptive_fit_32_points,adaptive_fit_33_points,adaptive_fit_34_points,adaptive_fit_35_points,adaptive_fit_36_points,adaptive_fit_37_points,adaptive_fit_38_points,adaptive_fit_39_points,adaptive_fit_40_points,adaptive_fit_41_points,adaptive_fit_42_points,adaptive_fit_43_points,adaptive_fit_44_points,adaptive_fit_45_points,adaptive_fit_46_points,adaptive_fit_47_points,adaptive_fit_48_points,adaptive_fit_49_points,adaptive_fit_50_points
2820.5,0.9972217462325348,0.9996792864855389,0.9995772454791976,0.9996665656328149,0.999668245081443,0.9996786773454045,0.9996837175153104,0.9996827879208731,0.9996836802378996,0.9996826439176892,0.9996824697953156,0.999682707505404,0.999682145385742,0.9996811344829967,0.9996812951547447,0.9996806904024061,0.9996810310120992,0.9996814676778905,0.9996815423697242,0.9996935754377365,0.999696482460822,0.9996814829316452,0.9996864232467904,0.9996813285242002,0.9996812964677755,0.9996810983885951,0.999681095435515,0.9996810971865747,0.999680939604098,0.9996810688696142,0.999681166752341,0.9996811376120986,0.9996809024231715,0.9996808324956112,0.9996805835343147,0.9996804506631309,0.9996802657553545,0.9996801715332079,0.9996801120572294,0.9996800305643337,0.9996799004326662,0.9996797881753241,0.9996796917977019
2821.0,0.9969182787104724,0.9996728024986462,0.9995687233996692,0.9996598054145865,0.9996615151067816,0.9996721831710335,0.9996773305553737,0.9996763851922799,0.999677293587073,0.9996762326135916,0.9996760553848637,0.9996762974767738,0.999675725887882,0.9996746919138928,0.9996748553309052,0.999674236832599,0.9996745833629561,0.9996750298995526,0.9996751059111186,0.9996873820203124,0.9996903475576755,0.9996750449187591,0.9996800845797157,0.9996748866199917,0.9996748538530854,0.9996746521214473,0.9996746491031799,0.9996746508867664,0.999674489838326,0.9996746215206836,0.999674721244473,0.9996746915532657,0.9996744512314314,0.9996743799757792,0.9996741255948502,0.9996739901899971,0.9996738012665127,0.9996737052411561,0.9996736444764316,0.9996735614187615,0.9996734284733015,0.9996733140539575,0.999673215596449
2821.5,0.9963289742702106,0.9996661197459754,0.9995599413325615,0.9996528373606036,0.9996545781151206,0.9996654900175949,0.9996707480646793,0.9996697865366937,0.9996707114363391,0.9996696249316135,0.9996694445167337,0.9996696911075541,0.9996691098139748,0.9996680519760366,0.9996682182078986,0.9996675854929005,0.9996679380974042,0.9996683948412495,0.9996684722074786,0.9996809987963388,0.9996840246325784,0.9996684096022049,0.9996735516359209,0.9996682472686353,0.9996682137674431,0.999668008281611,0.9996680051959801,0.9996680070130068,0.9996678423832618,0.9996679765508496,0.9996680781681473,0.9996680479101888,0.9996678022858154,0.9996677296638306,0.9996674696845719,0.999667331672776,0.9996671386014601,0.9996670407205391,0.9996669786247533,0.9996668939567147,0.9996667581052497,0.9996666414607029,0.9996665408552678
2822.0,0.9973141678642594,0.9996592300146148,0.9995508886074185,0.9996456528575485,0.9996474255227179,0.9996585896688452,0.9996639619760904,0.9996629838739767,0.9996639257202592,0.9996628127646293,0.9996626290812528,0.999662880292024,0.9996622890507004,0.9996612065196285,0.9996613756382335,0.9996607282142167,0.9996610870515987,0.9996615543545151,0.9996616331115659,0.9996744179252476,0.9996775059182725,0.9996615688318599,0.9996668163895057,0.9996614023130561,0.9996613680527016,0.9996611587071343,0.9996611555518661,0.9996611574032813,0.9996609890717285,0.999661125795539,0.9996612293608023,0.9996611985196969,0.9996609474156073,0.9996608733875649,0.9996606076233467,0.9996604669284775,0.9996602695713523,0.9996601697804626,0.9996601063094291,0.9996600199836349,0.999659881129882,0.9996597621944381,0.9996596593700373
2822.5,0.9982946407940848,0.9996521246627981,0.9995415540014091,0.9996382428409627,0.999640048296024,0.9996514734798706,0.9996569638019294,0.9996559687029338,0.9996569279529396,0.9996557875825812,0.9996556005457279,0.9996558565015932,0.9996552550615775,0.9996541469695982,0.9996543190492404,0.9996536564010285,0.9996540216354908,0.9996544998655631,0.9996545800508754,0.9996676311571719,0.9996707832420036,0.9996545140321598,0.9996598703955655,0.999654343170319,0.999654308124793,0.9996540948099669,0.9996540915826839,0.9996540934694719,0.9996539213101545,0.999654060663909,0.9996541662337043,0.9996541347924173,0.9996538780234652,0.9996538025480837,0.9996535308038995,0.9996533873468276,0.9996531855597349,0.9996530838023197,0.9996530189098761,0.9996529308770575,0.9996527889204362,0.9996526676257826,0.9996525625082114
2823.0,1.0014258514489747,0.9996447945927349,0.9995319257047028,0.9996305977665754,0.9996324369230829,0.9996441323499554,0.9996497446073821,0.9996487320746967,0.9996497092014422,0.9996485404057118,0.9996483499276754,0.9996486107580377,0.9996479988601861,0.9996468642986799,0.9996470394161514,0.9996463610043863,0.9996467328058314,0.999647222348353,0.999647304000704,0.9996606298070224,0.9996638479998375,0.9996472361751547,0.9996527047636516,0.9996470608046558,0.9996470249467515,0.9996468075489698,0.9996468042471857,0.9996468061703687,0.999646630051565,0.9996467721118457,0.9996468797449519,0.9996468476857775,0.999646585058396,0.9996465080927589,0.9996462301647516,0.9996460838631999,0.9996458774954509,0.9996457737126934,0.9996457073505902,0.9996456175595022,0.9996454723948918,0.9996453486699663,0.9996452411816762
2823.5,1.004552265798993,0.9996372302214115,0.9995219912832872,0.999622707579483,0.9996245813827871,0.9996365566934274,0.9996422949819215,0.9996412645641217,0.9996422600572104,0.9996410617757984,0.9996408677660542,0.9996411336047385,0.9996405109813935,0.9996393489984791,0.9996395272331711,0.999638832492885,0.999639211037159,0.9996397122956439,0.9996397954552076,0.9996534047266279,0.9996566911290573,0.9996397257515522,0.9996453101292498,0.9996395456984749,0.9996395089997183,0.9996392874009119,0.9996392840220251,0.9996392859826649,0.9996391057665551,0.9996392506129457,0.9996393603704632,0.9996393276749921,0.9996390589867094,0.9996389804861847,0.9996386961611384,0.999638546929523,0.999638335823525,0.9996382299542348,0.9996381620720162,0.9996380704693368,0.9996379219868182,0.9996377957576682,0.9996376858175762
2824.0,1.0042487009641503,0.999629421449185,0.9995117376390142,0.9996145616809927,0.9996164711118034,0.9996287364083025,0.9996346050085756,0.9996335562390335,0.9996345706053419,0.9996333417252171,0.9996331440903273,0.9996334150757481,0.9996327814504076,0.9996315910483535,0.9996317724823622,0.9996310608214498,0.9996314462905967,0.999631959687863,0.9996320443962723,0.9996459462747707,0.9996493030784748,0.9996319727395735,0.9996376766231031,0.9996317878211833,0.999631750251759,0.9996315243292744,0.999631520870561,0.9996315228697612,0.9996313384120717,0.9996314861273056,0.999631598072772,0.9996315647218553,0.9996312897607785,0.999631209678931,0.9996309187337294,0.9996307664829926,0.9996305504738494,0.9996304424543407,0.9996303729992166,0.9996302795294408,0.9996301276140196,0.999629998803653,0.9996298863269387
2824.5,1.0020849913284964,0.9996213576259793,0.9995011509666343,0.9996061488929258,0.9996080949689614,0.9996206608425364,0.9996266642308534,0.9996255966271244,0.9996266303915182,0.9996253697436475,0.9996251683871635,0.9996254446624988,0.9996247997494706,0.9996235798819203,0.9996237646001581,0.9996230353977368,0.9996234279802655,0.9996239539595976,0.9996240402600101,0.999638244284936,0.999641673776477,0.9996239665714333,0.9996297938381931,0.9996237765956272,0.9996237381242981,0.9996235077506741,0.9996235042092807,0.9996235062481886,0.9996233173978112,0.9996234680679281,0.9996235822674416,0.9996235482411535,0.9996232667854149,0.9996231850739147,0.9996228872749606,0.9996227319123915,0.9996225108274762,0.9996224005914388,0.9996223295081492,0.9996222341134754,0.9996220786447856,0.9996219471730138,0.9996218320709009
2825.0,1.000352419294262,0.9996130275148721,0.9994902167075563,0.9995974574191553,0.9995994411968837,0.9996123187576763,0.9996184616171224,0.9996173746803049,0.999618428386387,0.9996171347422075,0.9996169295645719,0.9996172112779421,0.9996165547819857,0.9996153043509788,0.9996154924412898,0.9996147450459414,0.9996151449371066,0.9996156839635013,0.9996157719006677,0.9996302880305702,0.9996337925966041,0.9996156960972308,0.9996216507941734,0.9996155008619418,0.9996154614559642,0.9996152264986946,0.9996152228716306,0.9996152249514394,0.9996150315500222,0.9996151852645361,0.9996153017868852,0.9996152670644831,0.9996149788816474,0.9996148954901716,0.9996145905927655,0.9996144320218103,0.9996142056803079,0.9996140931586708,0.9996140203893393,0.9996139230095491,0.9996137638615367,0.9996136296448047,0.9996135118243294
