frequency_MHz,experimental_data,reference_full_data_fit,adaptive_fit_30_points,adaptive_fit_40_points,adaptive_fit_50_points,adaptive_fit_60_points,adaptive_fit_70_points,adaptive_fit_80_points,adaptive_fit_90_points
2720.5,0.9995348372954156,0.9999346676324301,1.0,0.9999788579538337,0.9999676197377064,0.9999562577116434,0.9999429396553728,0.9999343460127887,0.999938548831711
2721.0,0.9994211408011311,0.9999338132442608,1.0,0.999978601251805,0.9999672159299702,0.999955708136263,0.9999422186306633,0.999933513711033,0.9999377695916952
2721.5,0.9987560084744249,0.9999329378520037,1.0,0.9999783386240866,0.9999668025944088,0.9999551455078065,0.9999414804634914,0.9999326615892815,0.9999369717910828
2722.0,0.9988636129668846,0.9999320406529221,1.0,0.99997806985391,0.9999663793771961,0.9999545693396201,0.9999407245150053,0.9999317889083391,0.9999361547375113
2722.5,1.0001938060871014,0.9999311208023143,1.0,0.9999777947134666,0.9999659459063283,0.9999539791200194,0.9999399501135039,0.9999308948909837,0.9999353177029969
2723.0,1.0000801093410636,0.999930177410743,1.0,0.9999775129631928,0.9999655017904351,0.9999533743106551,0.9999391565522925,0.9999299787194845,0.9999344599216096
2723.5,0.9997487417991495,0.999929209541049,1.0,0.999977224350994,0.9999650466175003,0.9999527543447531,0.9999383430873702,0.9999290395329224,0.999933580586961
2724.0,1.0000776431915601,0.9999282162051228,1.0,0.9999769286114085,0.9999645799534765,0.9999521186252082,0.9999375089349322,0.9999280764242988,0.9999326788494982
2724.5,0.999746276469822,0.9999271963604157,1.0,0.9999766254647053,0.999964101340791,0.9999514665225318,0.999936653268672,0.9999270884374095,0.9999317538135747
2725.0,1.0000751770542191,0.9999261489061642,1.0,0.9999763146159055,0.9999636102967286,0.9999507973726263,0.9999357752168626,0.999926074563466,0.9999308045342836
2725.5,1.000850300333139,0.9999250726792991,1.0,0.9999759957537258,0.9999631063116802,0.9999501104743795,0.9999348738591974,0.9999250337374349,0.9999298300140304
2726.0,1.0006277687516028,0.9999239664500127,1.0,0.9999756685494312,0.9999625888472438,0.999949405087056,0.9999339482233651,0.9999239648340711,0.999928829198817
2726.5,1.0006265350092058,0.9999228289169448,1.0,0.9999753326555909,0.9999620573341668,0.9999486804274679,0.9999329972813369,0.9999228666636182,0.9999278009742119
