method,n_points,mean_RMSE,std_RMSE,n_spectra
Adaptive,70,0.00015142768177788028,0.00011142484873860114,40
Adaptive,71,0.0001512403182802436,0.00011135004571938535,40
Adaptive,72,0.00014978958283519205,0.00011143479188576037,40
Adaptive,73,0.00014847310786555334,0.00011112180764302777,40
Adaptive,74,0.00014753713148808555,0.00010968393977461357,40
Adaptive,75,0.00014747199725177664,0.00010882667785704894,40
Adaptive,76,0.0001478877920413055,0.00010864330814515736,40
Adaptive,77,0.00014894994635692902,0.00010810575059710775,40
Adaptive,78,0.00015070022499984252,0.00010925390049988169,40
Adaptive,79,0.00015235892024041952,0.00011037073074559458,40
Adaptive,80,0.00015271781631240997,0.00011122223885099191,40
Random,10,0.01107085878428514,0.003633000299716564,40
Random,11,0.00995181749550017,0.0031362419913381003,40
Random,12,0.009479831682592622,0.0035087987839374163,40
Random,13,0.008744449461522624,0.0032372568554012472,40
Random,14,0.008542189037194873,0.0023452921451376702,40
Random,15,0.0076268257136791195,0.002248124054072879,40
Random,16,0.007945450914198456,0.0026566572322035188,40
Random,17,0.007398531664207975,0.002164498742395954,40
Random,18,0.006400496762374345,0.0016768947713760095,40
Random,19,0.00638392082869661,0.001954893655459087,40
Random,20,0.006134846362899458,0.0019330329337284376,40
Random,21,0.005766035309658885,0.0019487473379783532,40
Random,22,0.005621551245056726,0.0014611896531497195,40
Random,23,0.005089771501519923,0.0014190581145739714,40
Random,24,0.004756597398786622,0.0015432275889326877,40
Random,25,0.004629612579960575,0.0015458289674810765,40
Random,26,0.004319548521367485,0.001662089869642253,40
Random,27,0.004843796883882325,0.0015505513898833327,40
Random,28,0.004072524316061527,0.0016083653927323849,40
Random,29,0.00395494622021891,0.0015062932755018634,40
Random,30,0.003869890142393902,0.0012611925219116122,40
Random,31,0.0037366682313559945,0.0012293136575265414,40
Random,32,0.0034521207961827976,0.001448765582556389,40
Random,33,0.0035260424801037923,0.0013147166768047208,40
Random,34,0.003087652718798435,0.00110763318930641,40
Random,35,0.00333138171479992,0.0013962437411811864,40
Random,36,0.002933343882312615,0.0013103580103544046,40
Random,37,0.0028877020263613326,0.0014143666418380727,40
Random,38,0.0027017450245250475,0.001157171603861141,40
Random,39,0.0027873366692678847,0.0016012543131989554,40
Random,40,0.0025548850780325125,0.0010704017364158605,40
Random,41,0.002284379817535687,0.0010752557845476022,40
Random,42,0.00234475067708062,0.0009584513811437646,40
Random,43,0.0021946071560439576,0.0010039931225910386,40
Random,44,0.0022006826980721602,0.00098365558013272,40
Random,45,0.00227064079273063,0.0012709219231942831,40
Random,46,0.0023075140009316077,0.0010190760066608475,40
Random,47,0.002083123510358205,0.0010472105049688229,40
Random,48,0.00216120643532882,0.0011760154855984732,40
Random,49,0.00203654418213688,0.0010551532764890112,40
Random,50,0.0019526330687013298,0.0009842226335732731,40
Random,51,0.0018222022372223802,0.0009181269541612506,40
