method,n_points,mean_rmse,std_rmse,n_spectra
Adaptive,10,0.01167909371821832,0.014965301676878382,40
Adaptive,15,0.0015219989178225624,0.0010971997164404567,40
Adaptive,20,0.0009710387838523999,0.0007462597016810891,40
Adaptive,25,0.0004650326311948125,0.0003351839607452489,40
Adaptive,30,0.00038319929139955827,0.000327079582418996,40
Adaptive,35,0.0002961307110953079,0.000306662760256359,40
Adaptive,40,0.0002382317876993897,0.00021142073208707115,40
Adaptive,45,0.00022279772620461747,0.00017963797243310365,40
Adaptive,50,0.00019199567757189235,0.0001486761610597734,40
Random,10,0.01107085878428514,0.003633000299716564,40
Random,15,0.0076268257136791195,0.002248124054072879,40
Random,20,0.006134846362899458,0.0019330329337284376,40
Random,25,0.004629612579960575,0.0015458289674810765,40
Random,30,0.003869890142393902,0.0012611925219116122,40
Random,35,0.00333138171479992,0.0013962437411811864,40
Random,40,0.0025548850780325125,0.0010704017364158605,40
Random,45,0.00227064079273063,0.0012709219231942831,40
Random,50,0.0019526330687013298,0.0009842226335732731,40
Uniform,10,0.012935934059292078,0.014487153461633403,40
Uniform,15,0.004904912206129978,0.004588914873190972,40
Uniform,20,0.00288003374753327,0.0021037643400878226,40
Uniform,25,0.004070108212249972,0.006164742430913141,40
Uniform,30,0.0017933137106716074,0.002407588446095394,40
Uniform,35,0.0023680637587676473,0.005449228838598286,40
Uniform,40,0.003211639909759455,0.006774306914740165,40
Uniform,45,0.0015275231722389863,0.0035185287808532574,40
Uniform,50,0.0008701251967286744,0.0026863833002800062,40
