frequency_MHz,experimental_data,reference_full_data_fit,final_adaptive_fit,adaptive_sampled_points
2720.5,0.9995348372954156,0.9999346676324301,0.999938548831711,
2721.0,0.9994211408011311,0.9999338132442608,0.9999377695916952,
2721.5,0.9987560084744249,0.9999329378520037,0.9999369717910828,
2722.0,0.9988636129668846,0.9999320406529221,0.9999361547375113,
2722.5,1.0001938060871014,0.9999311208023143,0.9999353177029969,
2723.0,1.0000801093410636,0.999930177410743,0.9999344599216096,
2723.5,0.9997487417991495,0.999929209541049,0.999933580586961,
2724.0,1.0000776431915601,0.9999282162051228,0.9999326788494982,
2724.5,0.999746276469822,0.9999271963604157,0.9999317538135747,
2725.0,1.0000751770542191,0.9999261489061642,0.9999308045342836,1.0000751770542191
2725.5,1.000850300333139,0.9999250726792991,0.9999298300140304,
2726.0,1.0006277687516028,0.9999239664500127,0.999928829198817,
2726.5,1.0006265350092058,0.9999228289169448,0.9999278009742119,
2727.0,1.0010678953049283,0.9999216587019569,0.9999267441609747,
2727.5,1.0012879577675997,0.9999204543444451,0.9999256575102994,
2728.0,1.0015080196876132,0.9999192142951535,0.9999245396986385,
2728.5,1.0005091380672784,0.9999179369094277,0.9999233893220671,
2729.0,0.9999564785644474,0.9999166204398597,0.999922204890134,
2729.5,1.0007279665465594,0.9999152630282512,0.9999209848191521,
2730.0,1.0006178988976124,0.999913862696827,0.9999197274248636,
2730.5,1.0003953700719619,0.9999124173386182,0.9999184309144153,
2731.0,1.0000603804855872,0.9999109247069197,0.9999170933775656,
2731.5,0.9999503140668674,0.999909382403723,0.9999157127770429,
2732.0,1.000170375465525,0.9999077878670063,0.9999142869379534,
2732.5,1.0002779754280504,0.9999061383567535,0.9999128135361349,
2733.0,1.00038920289153,0.9999044309395503,0.9999112900853332,
2733.5,0.9997240890530058,0.9999026624715954,0.9999097139230623,
2734.0,1.0000529823654616,0.9999008295799332,0.9999080821949916,
2734.5,0.9990577450707542,0.9998989286416945,0.9999063918376839,
2735.0,0.9990565132899654,0.9998969557611007,0.9999046395594796,
2735.5,0.9993854062089844,0.9998949067439511,0.999902821819298,0.9993854062089844
2736.0,1.000603094481695,0.9998927770692743,0.999900934803092,
2736.5,1.00115327651634,0.9998905618577799,0.9998989743976562,
2737.0,1.001485793364173,0.9998882558366881,0.9998969361614409,
2737.5,1.0007082252270476,0.9998858533004553,0.9998948152919779,
2738.0,1.0002644093905195,0.9998833480668345,0.9998926065894616,
2738.5,0.9999330538779846,0.9998807334276102,0.9998903044159562,
2739.0,1.0008169829072984,0.9998780020932396,0.9998879026496211,
2739.5,1.0020346589057154,0.9998751461304657,0.9998853946332418,
2740.0,1.001587215918896,0.999872156891764,0.9998827731162293,
2740.5,1.0011434017345977,0.9998690249351878,0.999880030189102,
2741.0,1.000699588644678,0.9998657399327348,0.9998771572092607,
2741.5,1.000698354859366,0.9998622905646951,0.9998741447165925,
2742.0,1.0006971210770963,0.9998586643963914,0.999870982337052,
2742.5,1.0005870568587936,0.9998548477320879,0.9998676586717979,
2743.0,0.9991456355153262,0.9998508254382309,0.999864161168544,
2743.5,0.9992568614950685,0.9998465807241032,0.9998604759703692,
2744.0,0.9985881386053485,0.9998420948615886,0.9998565877348814,
2744.5,0.9978142151256344,0.9998373468159865,0.9998524794128586,
2745.0,0.9985856762624855,0.9998323127451265,0.9998481319693485,
2745.5,0.9989181893065597,0.9998269653024698,0.9998435240204377,
2746.0,0.9983619272821131,0.9998212726489765,0.9998386313435249,
2746.5,0.998803269147786,0.9998151970355261,0.9998334261953814,
2747.0,0.9986932084857144,0.9998086927597665,0.9998278763369989,
2747.5,0.9992470055885609,0.9998017032261315,0.9998219436129958,
2748.0,1.0000184592520998,0.999794156744574,0.9998155818613254,1.0000184592520998
2748.5,1.0001296827844295,0.9997859605941165,0.9998087338315268,
2749.0,0.9989095683431054,0.9997769927579793,0.9998013266634813,
2749.5,0.9981320263901051,0.9997670906205043,0.9997932653236087,
2750.0,0.9995709586392112,0.9997560358235056,0.9997844232178317,
2750.5,1.0001247505632402,0.9997435344421347,0.9997746290163076,
2751.0,1.00056608535839,0.999729191699236,0.9997636485631924,
2751.5,1.0005648517680956,0.9997124806424496,0.9997511606519524,
2752.0,0.9998997680534879,0.9996927046140209,0.9997367254878544,
2752.5,1.0000073630432884,0.9996689539989924,0.9997197449162589,
2753.0,1.0005611510154633,0.999640058676247,0.999699414059964,
2753.5,0.9995623321378824,0.9996045388194161,0.9996746649687147,
2754.0,0.9998948370086982,0.9995605581519681,0.9996441043003385,
2754.5,1.0003361682785041,0.9995058853382804,0.999605948931512,
2755.0,0.9998923715045414,0.9994378706999798,0.9995579656542444,
2755.5,0.9998911387570226,0.9993534466197466,0.9994974235503249,
2756.0,0.9986710456693374,0.9992491605120855,0.999421069911896,
2756.5,0.9981147983514465,0.9991212487633183,0.9993251422216527,
2757.0,0.9991111444901768,0.998965758275396,0.9992054291581937,
2757.5,0.9990010862980434,0.998778719018374,0.999057392277643,0.9990010862980434
2758.0,0.9978898266042365,0.9985563663516038,0.9988763564843199,
2758.5,0.998222329847615,0.9982954061774976,0.9986577714624556,
2759.0,0.9978873660682295,0.9979933100119849,0.998397538181128,
2759.5,0.9974435772376024,0.9976486220278723,0.9980923853296333,
2760.0,0.9981061845551358,0.9972612577717189,0.9977402717984285,0.9981061845551358
2760.5,0.9972198390730542,0.9968327767065106,0.9973407856569901,0.9972198390730542
2761.0,0.9965547742416244,0.996366620264025,0.9968955108557723,
2761.5,0.996002163901916,0.9958683253301841,0.9964083438906898,
2762.0,0.9955547526242504,0.9953457490630241,0.9958857670257366,
2762.5,0.9952234225267588,0.9948093668148827,0.9953371218208721,
2763.0,0.9945583634363463,0.9942727083951065,0.994774965545241,0.9945583634363463
2763.5,0.9934507517834913,0.9937529337344029,0.9942155990105491,
2764.0,0.9932282501750471,0.9932713543462994,0.9936797547397148,
2764.5,0.9920081908730426,0.9928533573315772,0.9931931300095991,
2765.0,0.9917856915916844,0.9925268396113914,0.992785923748373,
2765.5,0.9918932931360626,0.9923183802668253,0.9924901147231354,
2766.0,0.9925595249646234,0.9922475001457441,0.9923337245987651,0.9925595249646234
2766.5,0.9928884007540097,0.9923211787220486,0.9923333664408945,
2767.0,0.9928871766762581,0.9925316406460568,0.9924887904925924,
2767.5,0.9928859526015248,0.9928588111416657,0.9927829705638511,
2768.0,0.9936610035172245,0.9932758938770649,0.9931876706777227,
2768.5,0.9933260532074105,0.9937550461571462,0.9936708910423385,0.9933260532074105
2769.0,0.9938798275691575,0.9942710758740508,0.9942025267868021,
2769.5,0.9948725207807972,0.994802900266478,0.9947570116364031,
2770.0,0.9958688389801051,0.9953335680323349,0.995313737403044,
2770.5,0.9962013348769111,0.9958497244635024,0.9958565080895043,
2771.0,0.9964213797361144,0.9963410409079376,0.9963728538588208,
2771.5,0.9974140649191545,0.9967997871728232,0.9968535085776503,0.9974140649191545
2772.0,0.9971915628135256,0.9972205394574778,0.997292056967974,
2772.5,0.9969690612565105,0.9975999575389263,0.997684662012023,
2773.0,0.9980741917561786,0.9979365705733053,0.9980297908936006,
2773.5,0.9979641391842684,0.9982305371597922,0.9983278968637713,
2774.0,0.9986267229874515,0.9984833709777835,0.9985810512950839,0.9986267229874515
2774.5,0.9991804833046535,0.9986976410559446,0.9987925441577106,
2775.0,0.9990668023853052,0.9988766648195806,0.9989664818310185,
2775.5,0.998180488500073,0.9990242141897323,0.9991074117121065,
2776.0,0.9980668090938319,0.999144252452203,0.9992199972924017,0.9980668090938319
2776.5,0.9989542860719078,0.9992407144939337,0.9993087585867536,
