wave297	wave298
2720.5	0.258852
2721	0.25876
2721.5	0.258638
2722	0.258577
2722.5	0.258791
2723	0.259218
2723.5	0.259768
2724	0.259859
2724.5	0.259462
2725	0.259401
2725.5	0.259523
2726	0.259706
2726.5	0.259523
2727	0.259401
2727.5	0.259706
2728	0.260134
2728.5	0.260286
2729	0.260317
2729.5	0.260103
2730	0.260164
2730.5	0.260286
2731	0.260439
2731.5	0.260592
2732	0.260469
2732.5	0.260256
2733	0.260469
2733.5	0.261049
2734	0.261171
2734.5	0.260836
2735	0.260836
2735.5	0.260866
2736	0.260836
2736.5	0.260622
2737	0.260103
2737.5	0.260103
2738	0.2605
2738.5	0.2605
2739	0.260683
2739.5	0.260927
2740	0.260897
2740.5	0.2605
2741	0.260469
2741.5	0.2605
2742	0.260622
2742.5	0.260683
2743	0.260866
2743.5	0.261049
2744	0.260988
2744.5	0.260927
2745	0.260988
2745.5	0.261019
2746	0.260714
2746.5	0.260653
2747	0.260714
2747.5	0.260927
2748	0.260805
2748.5	0.260866
2749	0.260897
2749.5	0.26111
2750	0.261019
2750.5	0.260866
2751	0.260836
2751.5	0.261049
2752	0.260988
2752.5	0.260958
2753	0.261019
2753.5	0.261049
2754	0.26108
2754.5	0.261232
2755	0.261202
2755.5	0.260775
2756	0.260653
2756.5	0.260866
2757	0.261019
2757.5	0.260897
2758	0.260958
2758.5	0.260866
2759	0.26108
2759.5	0.260958
2760	0.260775
2760.5	0.2605
2761	0.260317
2761.5	0.260103
2762	0.259615
2762.5	0.259432
2763	0.259462
2763.5	0.25934
2764	0.259127
2764.5	0.259035
2765	0.258699
2765.5	0.258821
2766	0.259035
2766.5	0.259127
2767	0.259096
2767.5	0.259096
2768	0.25931
2768.5	0.259645
2769	0.259768
2769.5	0.259798
2770	0.260073
2770.5	0.260347
2771	0.2605
2771.5	0.260775
2772	0.260836
2772.5	0.260775
2773	0.260744
2773.5	0.260561
2774	0.260683
2774.5	0.260988
2775	0.260927
2775.5	0.260836
2776	0.261019
2776.5	0.261263
2777	0.261507
2777.5	0.261599
2778	0.261324
2778.5	0.261507
2779	0.261629
2779.5	0.261354
2780	0.261415
2780.5	0.261232
2781	0.261141
2781.5	0.261141
2782	0.261232
2782.5	0.261385
2783	0.261324
2783.5	0.261263
2784	0.261232
