wave285	wave286
2720.5	0.164582
2721	0.164704
2721.5	0.164765
2722	0.164582
2722.5	0.16443
2723	0.164613
2723.5	0.164704
2724	0.164857
2724.5	0.165009
2725	0.165132
2725.5	0.164887
2726	0.164735
2726.5	0.164826
2727	0.164796
2727.5	0.165009
2728	0.165101
2728.5	0.165254
2729	0.165406
2729.5	0.165376
2730	0.165315
2730.5	0.165101
2731	0.165132
2731.5	0.165101
2732	0.165223
2732.5	0.165254
2733	0.165254
2733.5	0.165467
2734	0.165437
2734.5	0.165376
2735	0.165498
2735.5	0.165528
2736	0.165589
2736.5	0.165589
2737	0.16565
2737.5	0.165589
2738	0.165376
2738.5	0.165437
2739	0.165498
2739.5	0.165498
2740	0.165437
2740.5	0.165406
2741	0.165223
2741.5	0.165223
2742	0.165101
2742.5	0.165193
2743	0.165437
2743.5	0.165589
2744	0.165467
2744.5	0.165406
2745	0.165223
2745.5	0.165009
2746	0.165223
2746.5	0.165467
2747	0.165498
2747.5	0.16562
2748	0.165833
2748.5	0.16565
2749	0.165711
2749.5	0.16565
2750	0.165467
2750.5	0.165376
2751	0.165498
2751.5	0.165681
2752	0.165772
2752.5	0.16565
2753	0.165589
2753.5	0.165437
2754	0.165376
2754.5	0.165345
2755	0.165284
2755.5	0.165284
2756	0.165376
2756.5	0.165376
2757	0.165254
2757.5	0.165406
2758	0.165437
2758.5	0.165223
2759	0.165132
2759.5	0.165284
2760	0.165193
2760.5	0.164918
2761	0.164948
2761.5	0.164918
2762	0.164765
2762.5	0.164643
2763	0.164674
2763.5	0.164643
2764	0.16446
2764.5	0.164491
2765	0.164399
2765.5	0.164338
2766	0.16446
2766.5	0.164643
2767	0.164643
2767.5	0.164674
2768	0.164521
2768.5	0.164552
2769	0.164674
2769.5	0.164643
2770	0.164704
2770.5	0.164735
2771	0.164948
2771.5	0.165223
2772	0.165437
2772.5	0.165559
2773	0.165467
2773.5	0.165437
2774	0.165376
2774.5	0.165467
2775	0.165559
2775.5	0.16565
2776	0.16562
2776.5	0.165772
2777	0.165925
2777.5	0.165803
2778	0.165681
2778.5	0.165742
2779	0.16565
2779.5	0.165711
2780	0.165925
2780.5	0.165742
2781	0.165711
2781.5	0.165803
2782	0.165803
2782.5	0.165895
2783	0.166078
2783.5	0.165986
2784	0.165986
2784.5	0.166078
2785	0.166108
2785.5	0.166017
2786	0.165956
2786.5	0.166017
2787	0.1662
2787.5	0.166291
2788	0.166017
2788.5	0.165803
2789	0.165803
2789.5	0.166047
2790	0.165986
2790.5	0.165925
2791	0.165864
2791.5	0.165864
2792	0.166047
2792.5	0.166047
2793	0.165803
2793.5	0.165772
2794	0.165803
2794.5	0.166078
2795	0.166078
2795.5	0.165925
2796	0.165986
2796.5	0.165956
2797	0.165803
2797.5	0.165772
2798	0.165772
2798.5	0.165589
2799	0.165498
2799.5	0.165467
2800	0.165406
2800.5	0.165437
2801	0.165254
2801.5	0.165193
2802	0.165132
2802.5	0.165009
2803	0.164796
2803.5	0.164552
2804	0.164308
2804.5	0.164155
2805	0.164033
2805.5	0.16385
2806	0.163667
2806.5	0.163392
2807	0.163117
2807.5	0.162904
2808	0.162721
2808.5	0.162354
2809	0.161866
2809.5	0.161622
2810	0.161439
2810.5	0.161317
2811	0.161439
2811.5	0.161592
2812	0.161683
2812.5	0.161866
2813	0.161866
2813.5	0.16211
2814	0.162538
2814.5	0.162995
2815	0.163514
2815.5	0.163697
2816	0.164033
2816.5	0.16446
2817	0.164704
2817.5	0.164857
2818	0.165193
2818.5	0.165498
2819	0.16562
2819.5	0.16565
2820	0.165772
2820.5	0.165833
2821	0.165711
2821.5	0.165742
2822	0.165742
2822.5	0.165895
2823	0.166078
2823.5	0.166352
2824	0.166352
2824.5	0.1662
2825	0.166017
2825.5	0.166139
2826	0.166322
2826.5	0.166444
2827	0.166383
2827.5	0.166566
2828	0.166688
2828.5	0.166657
2829	0.166413
2829.5	0.166261
2830	0.16623
2830.5	0.16623
2831	0.16623
2831.5	0.166261
2832	0.166383
2832.5	0.166352
2833	0.166261
2833.5	0.166291
2834	0.1662
2834.5	0.1662
2835	0.166108
2835.5	0.166017
2836	0.165895
2836.5	0.165895
2837	0.166108
2837.5	0.165986
2838	0.165681
2838.5	0.165467
2839	0.165284
2839.5	0.165406
2840	0.165315
2840.5	0.165223
2841	0.164857
2841.5	0.164369
2842	0.163911
2842.5	0.163301
2843	0.162965
2843.5	0.162599
2844	0.162293
2844.5	0.162171
2845	0.162049
2845.5	0.16208
2846	0.16211
2846.5	0.162141
2847	0.162293
2847.5	0.162324
2848	0.162538
2848.5	0.163056
2849	0.163423
2849.5	0.163972
2850	0.164338
2850.5	0.164674
2851	0.164887
2851.5	0.165162
2852	0.165559
2852.5	0.165681
2853	0.165864
2853.5	0.165986
2854	0.166047
2854.5	0.166139
2855	0.166047
2855.5	0.166108
2856	0.165986
2856.5	0.166108
2857	0.166139
2857.5	0.166108
2858	0.166017
2858.5	0.166078
2859	0.1662
2859.5	0.166291
2860	0.166169
2860.5	0.166017
2861	0.165864
2861.5	0.165895
2862	0.166047
2862.5	0.165895
2863	0.165803
2863.5	0.16565
2864	0.165254
2864.5	0.165009
2865	0.16504
2865.5	0.16504
2866	0.164887
2866.5	0.165009
2867	0.165071
2867.5	0.165071
2868	0.165071
2868.5	0.165254
2869	0.165284
2869.5	0.165406
2870	0.16565
2870.5	0.165803
2871	0.165833
2871.5	0.165986
2872	0.166169
2872.5	0.166474
2873	0.166444
2873.5	0.166474
2874	0.166566
2874.5	0.166383
2875	0.166261
2875.5	0.166474
2876	0.166627
2876.5	0.166474
2877	0.166474
2877.5	0.166596
2878	0.166749
2878.5	0.16678
2879	0.166902
2879.5	0.166688
2880	0.166444
2880.5	0.166352
2881	0.166261
2881.5	0.166139
2882	0.166261
2882.5	0.16623
2883	0.165986
2883.5	0.165772
2884	0.165742
2884.5	0.165345
2885	0.165162
2885.5	0.165223
2886	0.165223
2886.5	0.165193
2887	0.165132
2887.5	0.164979
2888	0.164918
2888.5	0.16504
2889	0.165101
2889.5	0.164979
2890	0.165101
2890.5	0.165254
2891	0.165559
2891.5	0.165803
2892	0.165925
2892.5	0.165895
2893	0.166169
2893.5	0.166535
2894	0.166718
2894.5	0.166627
2895	0.166505
2895.5	0.166474
2896	0.16678
2896.5	0.167054
2897	0.167146
2897.5	0.167359
2898	0.167207
2898.5	0.167115
2899	0.166963
2899.5	0.166627
2900	0.166413
2900.5	0.166383
2901	0.166383
2901.5	0.16623
2902	0.166047
2902.5	0.166017
2903	0.165833
2903.5	0.165528
2904	0.165284
2904.5	0.164765
2905	0.164186
2905.5	0.163667
2906	0.163331
2906.5	0.16327
2907	0.162995
2907.5	0.162568
2908	0.162385
2908.5	0.162751
2909	0.162843
2909.5	0.162904
2910	0.162965
2910.5	0.163362
2911	0.163697
2911.5	0.164124
2912	0.164491
2912.5	0.164796
2913	0.164948
2913.5	0.165254
2914	0.165437
2914.5	0.165772
2915	0.165864
2915.5	0.165864
2916	0.166078
2916.5	0.166413
2917	0.166413
2917.5	0.166291
2918	0.166322
2918.5	0.166505
2919	0.166627
2919.5	0.166657
2920	0.166596
2920.5	0.166627
2921	0.166505
2921.5	0.166535
2922	0.166596
2922.5	0.166718
2923	0.166566
2923.5	0.166718
2924	0.166749
2924.5	0.166505
2925	0.166566
2925.5	0.166657
2926	0.166749
2926.5	0.16678
2927	0.166841
2927.5	0.166657
2928	0.166505
2928.5	0.166535
2929	0.166535
2929.5	0.166535
2930	0.166596
2930.5	0.166474
2931	0.16623
2931.5	0.166078
2932	0.165833
2932.5	0.165742
2933	0.165437
2933.5	0.165406
2934	0.165315
2934.5	0.165101
2935	0.164704
2935.5	0.164155
2936	0.163789
2936.5	0.163392
2937	0.163056
2937.5	0.162904
2938	0.162904
2938.5	0.162843
2939	0.162599
2939.5	0.162568
2940	0.162751
2940.5	0.162812
2941	0.162843
2941.5	0.163026
2942	0.163423
2942.5	0.163911
2943	0.164124
2943.5	0.164308
2944	0.164552
2944.5	0.164857
2945	0.165284
2945.5	0.165528
2946	0.165498
2946.5	0.165711
2947	0.165895
2947.5	0.166047
2948	0.166108
2948.5	0.166139
2949	0.16623
2949.5	0.166352
2950	0.166322
2950.5	0.166627
2951	0.166932
2951.5	0.166993
2952	0.167054
2952.5	0.167085
2953	0.167176
2953.5	0.167359
2954	0.16739
2954.5	0.16739
2955	0.16742
2955.5	0.167298
2956	0.167115
2956.5	0.167146
2957	0.167268
2957.5	0.167146
2958	0.167024
2958.5	0.166963
2959	0.167024
2959.5	0.167054
2960	0.166932
2960.5	0.167207
2961	0.167146
2961.5	0.166902
2962	0.167085
2962.5	0.167176
2963	0.167176
2963.5	0.167024
2964	0.166871
2964.5	0.166932
2965	0.167085
2965.5	0.167115
2966	0.167176
2966.5	0.167237
2967	0.167146
2967.5	0.167115
2968	0.167176
2968.5	0.167115
2969	0.167115
2969.5	0.167176
2970	0.166993
2970.5	0.166841
2971	0.166871
2971.5	0.16681
2972	0.166627
2972.5	0.166505
2973	0.166505
2973.5	0.166352
2974	0.165986
2974.5	0.165986
2975	0.165925
2975.5	0.16565
2976	0.165742
2976.5	0.165711
2977	0.165711
2977.5	0.165711
2978	0.165711
2978.5	0.165803
2979	0.165925
2979.5	0.166047
2980	0.166017
2980.5	0.166017
2981	0.166108
2981.5	0.166383
2982	0.166657
2982.5	0.16678
2983	0.16681
2983.5	0.166993
2984	0.167115
2984.5	0.167115
2985	0.166963
2985.5	0.166902
2986	0.167054
2986.5	0.167115
2987	0.16742
2987.5	0.167451
2988	0.167268
2988.5	0.166932
2989	0.166902
2989.5	0.167024
2990	0.167024
2990.5	0.167207
2991	0.167451
2991.5	0.167512
2992	0.167237
2992.5	0.167115
2993	0.166993
2993.5	0.167054
2994	0.167237
2994.5	0.167298
2995	0.167268
2995.5	0.167359
2996	0.167451
2996.5	0.167359
2997	0.167512
2997.5	0.167512
2998	0.167481
2998.5	0.16739
2999	0.167451
2999.5	0.167848
3000	0.167695
3000.5	0.167481
3001	0.16739
3001.5	0.16742
3002	0.16739
3002.5	0.167146
3003	0.167024
3003.5	0.167176
3004	0.167298
3004.5	0.167298
3005	0.167359
3005.5	0.167298
3006	0.167268
3006.5	0.167298
3007	0.167268
3007.5	0.167298
3008	0.167542
3008.5	0.16742
3009	0.167207
3009.5	0.167085
3010	0.166963
3010.5	0.166841
3011	0.166902
3011.5	0.167146
3012	0.167268
3012.5	0.167268
3013	0.167268
3013.5	0.16739
3014	0.16742
3014.5	0.167481
3015	0.16742
3015.5	0.16739
3016	0.167237
3016.5	0.167176
3017	0.167268
3017.5	0.167176
3018	0.167176
3018.5	0.167268
3019	0.167359
3019.5	0.167481
3020	0.167481
