wave357	wave358
2720.5	0.249604
2721	0.249696
2721.5	0.249909
2722	0.249635
2722.5	0.249299
2723	0.249146
2723.5	0.249299
2724	0.249299
2724.5	0.249299
2725	0.249116
2725.5	0.248872
2726	0.249055
2726.5	0.249116
2727	0.249207
2727.5	0.249207
2728	0.249085
2728.5	0.249085
2729	0.249238
2729.5	0.249085
2730	0.249116
2730.5	0.249269
2731	0.249269
2731.5	0.249207
2732	0.249024
2732.5	0.249024
2733	0.24933
2733.5	0.249391
2734	0.24933
2734.5	0.249085
2735	0.249207
2735.5	0.249604
2736	0.249391
2736.5	0.249116
2737	0.249116
2737.5	0.249055
2738	0.248963
2738.5	0.248963
2739	0.249055
2739.5	0.249055
2740	0.249085
2740.5	0.249177
2741	0.249055
2741.5	0.248963
2742	0.249055
2742.5	0.249055
2743	0.249207
2743.5	0.249207
2744	0.248933
2744.5	0.248628
2745	0.248597
2745.5	0.248689
2746	0.248963
2746.5	0.249055
2747	0.248902
2747.5	0.248902
2748	0.248963
2748.5	0.24878
2749	0.248963
2749.5	0.248933
2750	0.248933
2750.5	0.249116
2751	0.248963
2751.5	0.248933
2752	0.248902
2752.5	0.248902
2753	0.248933
2753.5	0.249024
2754	0.249024
2754.5	0.249024
2755	0.248963
2755.5	0.248933
2756	0.248872
2756.5	0.249055
2757	0.248872
2757.5	0.248963
2758	0.249177
2758.5	0.249116
2759	0.248811
2759.5	0.248628
2760	0.248567
2760.5	0.248872
2761	0.249299
2761.5	0.249207
2762	0.248719
2762.5	0.248567
2763	0.248414
2763.5	0.248139
2764	0.247987
2764.5	0.247895
2765	0.247804
2765.5	0.247651
2766	0.247682
2766.5	0.247865
2767	0.247895
2767.5	0.247804
2768	0.247956
2768.5	0.247834
2769	0.247987
2769.5	0.248048
2770	0.2482
2770.5	0.248475
2771	0.248536
2771.5	0.248628
2772	0.248719
2772.5	0.248933
2773	0.249024
2773.5	0.248963
2774	0.249024
2774.5	0.248994
2775	0.249238
2775.5	0.249513
2776	0.249452
2776.5	0.249238
2777	0.249421
2777.5	0.249543
2778	0.249665
2778.5	0.249848
2779	0.249757
2779.5	0.249635
2780	0.249513
2780.5	0.249452
2781	0.24933
2781.5	0.24936
2782	0.249513
2782.5	0.249452
2783	0.249391
2783.5	0.249207
2784	0.249452
2784.5	0.249757
2785	0.249879
2785.5	0.249818
2786	0.249726
2786.5	0.249696
2787	0.249848
2787.5	0.249757
2788	0.249604
2788.5	0.249574
2789	0.249604
2789.5	0.249848
2790	0.249604
2790.5	0.249635
2791	0.249635
2791.5	0.249452
2792	0.249635
2792.5	0.249787
