wave342	wave343
2720.5	0.27289
2721	0.272615
2721.5	0.272463
2722	0.272554
2722.5	0.272554
2723	0.272402
2723.5	0.272219
2724	0.272158
2724.5	0.272158
2725	0.272036
2725.5	0.27228
2726	0.272036
2726.5	0.272066
2727	0.272066
2727.5	0.272066
2728	0.272097
2728.5	0.272158
2729	0.272097
2729.5	0.272219
2730	0.272585
2730.5	0.272738
2731	0.272402
2731.5	0.27228
2732	0.271944
2732.5	0.272005
2733	0.272188
2733.5	0.272005
2734	0.271883
2734.5	0.272036
2735	0.27228
2735.5	0.272432
2736	0.272188
2736.5	0.271944
2737	0.272097
2737.5	0.27228
2738	0.27228
2738.5	0.27228
2739	0.27228
2739.5	0.272402
2740	0.272463
2740.5	0.272341
2741	0.272219
2741.5	0.272005
2742	0.272036
2742.5	0.272066
2743	0.272188
2743.5	0.272158
2744	0.272066
2744.5	0.272158
2745	0.272188
2745.5	0.272219
2746	0.272188
2746.5	0.272158
2747	0.272219
2747.5	0.272402
2748	0.272371
2748.5	0.272036
2749	0.271914
2749.5	0.272036
2750	0.272219
2750.5	0.27228
2751	0.272158
2751.5	0.272249
2752	0.272585
2752.5	0.272524
2753	0.272341
2753.5	0.271975
2754	0.272005
2754.5	0.272402
2755	0.272432
2755.5	0.272371
2756	0.272219
2756.5	0.272249
2757	0.272371
2757.5	0.272554
2758	0.272646
2758.5	0.272493
2759	0.272188
2759.5	0.271822
2760	0.27173
2760.5	0.271669
2761	0.271334
2761.5	0.271181
2762	0.271151
2762.5	0.270906
2763	0.270662
2763.5	0.270296
2764	0.270021
2764.5	0.269808
2765	0.269625
2765.5	0.270052
2766	0.270296
2766.5	0.270266
2767	0.270266
2767.5	0.270235
2768	0.270113
2768.5	0.270021
2769	0.26993
2769.5	0.270235
2770	0.270632
2770.5	0.270754
2771	0.270967
2771.5	0.271029
2772	0.271303
2772.5	0.271364
2773	0.271425
2773.5	0.271639
2774	0.27173
2774.5	0.271761
2775	0.2717
2775.5	0.271852
2776	0.271852
2776.5	0.271669
2777	0.271578
2777.5	0.271791
2778	0.272005
2778.5	0.271914
2779	0.27173
2779.5	0.271822
2780	0.27173
2780.5	0.271669
2781	0.271578
2781.5	0.271486
2782	0.271669
2782.5	0.27173
2783	0.271456
2783.5	0.271639
2784	0.271761
2784.5	0.271761
2785	0.271425
2785.5	0.27112
2786	0.271456
2786.5	0.271822
2787	0.271669
2787.5	0.271608
2788	0.271517
2788.5	0.27173
2789	0.271914
2789.5	0.271914
2790	0.271883
2790.5	0.272158
2791	0.272219
2791.5	0.271791
2792	0.271456
2792.5	0.271273
2793	0.271395
2793.5	0.271486
2794	0.271395
2794.5	0.271181
2795	0.271303
2795.5	0.271456
2796	0.271212
2796.5	0.271181
2797	0.270937
2797.5	0.271029
2798	0.271608
2798.5	0.271456
2799	0.271273
2799.5	0.270998
2800	0.270723
2800.5	0.270601
2801	0.270296
2801.5	0.270021
2802	0.270144
2802.5	0.270418
2803	0.270266
2803.5	0.26996
2804	0.269716
2804.5	0.269503
2805	0.269258
2805.5	0.269167
2806	0.268679
2806.5	0.268221
2807	0.267488
2807.5	0.266817
2808	0.266054
2808.5	0.265474
2809	0.265017
