wave336	wave337
2720.5	0.239167
2721	0.238984
2721.5	0.238984
2722	0.239045
2722.5	0.238709
2723	0.238557
2723.5	0.238313
2724	0.238343
2724.5	0.238557
2725	0.238374
2725.5	0.238496
2726	0.238465
2726.5	0.238343
2727	0.238343
2727.5	0.238404
2728	0.238496
2728.5	0.238374
2729	0.238252
2729.5	0.23813
2730	0.23813
2730.5	0.238221
2731	0.238282
2731.5	0.238252
2732	0.238008
2732.5	0.237916
2733	0.238008
2733.5	0.238099
2734	0.23816
2734.5	0.238435
2735	0.238435
2735.5	0.238343
2736	0.238221
2736.5	0.23813
2737	0.238069
2737.5	0.237947
2738	0.238313
2738.5	0.238679
2739	0.23877
2739.5	0.238557
2740	0.238435
2740.5	0.238679
2741	0.238679
2741.5	0.238557
2742	0.238618
2742.5	0.238404
2743	0.238374
2743.5	0.23813
2744	0.23813
2744.5	0.238282
2745	0.238557
2745.5	0.238709
2746	0.238587
2746.5	0.238557
2747	0.238557
2747.5	0.238618
2748	0.238618
2748.5	0.238435
2749	0.238465
2749.5	0.23874
2750	0.23874
2750.5	0.238618
2751	0.23874
2751.5	0.238801
2752	0.238679
2752.5	0.238618
2753	0.23874
2753.5	0.23874
2754	0.238709
2754.5	0.23874
2755	0.238648
2755.5	0.238313
2756	0.238221
2756.5	0.238435
2757	0.238679
2757.5	0.238374
2758	0.23816
2758.5	0.238252
2759	0.238313
2759.5	0.238404
2760	0.238404
2760.5	0.238252
2761	0.237947
2761.5	0.237824
2762	0.237702
2762.5	0.237672
2763	0.237367
2763.5	0.236817
2764	0.236604
2764.5	0.236451
2765	0.236268
2765.5	0.236268
2766	0.236634
2766.5	0.236665
2767	0.236604
2767.5	0.236512
2768	0.236634
2768.5	0.237031
2769	0.237245
2769.5	0.237275
2770	0.237367
2770.5	0.237489
2771	0.237672
2771.5	0.237763
2772	0.238099
2772.5	0.237977
2773	0.237947
2773.5	0.237947
2774	0.238099
2774.5	0.238374
2775	0.238282
2775.5	0.238374
2776	0.238404
2776.5	0.238496
2777	0.238313
2777.5	0.23816
2778	0.237977
2778.5	0.238282
2779	0.238313
2779.5	0.238282
2780	0.238374
2780.5	0.238343
2781	0.238374
2781.5	0.23813
2782	0.237916
2782.5	0.237763
2783	0.238008
2783.5	0.237855
2784	0.237733
2784.5	0.237763
2785	0.237824
2785.5	0.237947
2786	0.238069
2786.5	0.238252
2787	0.238069
2787.5	0.237947
2788	0.238038
2788.5	0.23813
2789	0.238069
2789.5	0.238008
2790	0.238038
2790.5	0.237977
2791	0.237947
2791.5	0.238008
2792	0.23816
2792.5	0.238069
2793	0.238008
2793.5	0.23816
2794	0.238313
2794.5	0.238069
2795	0.23813
2795.5	0.237763
2796	0.237519
2796.5	0.23755
2797	0.237489
2797.5	0.23758
2798	0.237672
2798.5	0.23755
2799	0.237458
2799.5	0.23755
2800	0.237519
2800.5	0.237275
2801	0.236939
2801.5	0.237123
2802	0.237123
2802.5	0.236726
2803	0.236482
2803.5	0.236573
2804	0.236421
2804.5	0.23636
2805	0.236329
2805.5	0.235841
2806	0.23523
2806.5	0.234895
2807	0.234406
2807.5	0.233674
2808	0.233308
2808.5	0.232942
2809	0.232484
2809.5	0.23224
2810	0.232087
2810.5	0.231874
2811	0.231843
2811.5	0.231996
2812	0.23224
2812.5	0.232118
2813	0.232453
2813.5	0.232942
2814	0.233521
2814.5	0.234223
2815	0.234651
2815.5	0.234986
2816	0.235719
2816.5	0.236482
2817	0.236878
2817.5	0.237184
2818	0.237489
2818.5	0.237824
2819	0.23816
2819.5	0.238282
2820	0.238313
2820.5	0.238496
2821	0.23874
2821.5	0.239045
2822	0.238984
2822.5	0.238618
2823	0.238587
2823.5	0.238801
2824	0.238618
2824.5	0.238923
2825	0.23935
2825.5	0.239137
2826	0.238801
2826.5	0.238801
2827	0.238679
2827.5	0.238465
2828	0.238557
2828.5	0.238709
2829	0.238648
2829.5	0.23877
2830	0.238557
2830.5	0.238343
2831	0.238435
2831.5	0.238832
2832	0.23877
2832.5	0.23874
2833	0.238587
2833.5	0.238465
2834	0.238557
2834.5	0.238618
2835	0.23874
2835.5	0.238648
2836	0.238374
2836.5	0.238282
2837	0.238282
2837.5	0.238221
2838	0.23816
2838.5	0.237763
2839	0.237641
2839.5	0.23755
2840	0.237306
2840.5	0.23697
2841	0.236726
2841.5	0.236329
2842	0.235749
2842.5	0.23459
2843	0.233491
2843.5	0.232911
2844	0.232881
2844.5	0.232575
2845	0.232301
2845.5	0.232118
2846	0.232362
2846.5	0.232606
2847	0.233003
2847.5	0.233125
2848	0.233186
2848.5	0.233827
2849	0.234773
2849.5	0.235536
2850	0.235902
2850.5	0.235871
2851	0.236115
2851.5	0.236695
2852	0.236756
2852.5	0.23697
2853	0.237306
2853.5	0.237397
2854	0.237367
2854.5	0.237458
2855	0.23755
2855.5	0.237733
2856	0.237916
2856.5	0.237916
2857	0.238038
2857.5	0.238191
2858	0.238252
2858.5	0.23816
2859	0.238069
2859.5	0.237947
2860	0.237611
2860.5	0.237428
2861	0.237428
2861.5	0.237428
2862	0.237214
2862.5	0.237153
2863	0.237245
2863.5	0.237062
2864	0.236695
2864.5	0.236268
2865	0.236115
2865.5	0.236238
2866	0.236268
2866.5	0.236329
2867	0.236329
2867.5	0.236207
2868	0.236238
2868.5	0.23639
2869	0.23639
2869.5	0.236756
2870	0.237123
2870.5	0.237519
2871	0.238038
2871.5	0.237916
2872	0.237702
2872.5	0.237916
2873	0.238282
2873.5	0.238435
2874	0.238435
2874.5	0.238496
2875	0.238709
2875.5	0.238648
2876	0.238557
2876.5	0.238587
2877	0.238587
2877.5	0.238618
2878	0.238893
2878.5	0.238801
2879	0.238496
2879.5	0.238465
2880	0.238465
2880.5	0.238587
2881	0.238618
2881.5	0.238587
2882	0.238618
2882.5	0.238191
2883	0.237885
2883.5	0.237763
2884	0.237733
2884.5	0.237489
2885	0.23697
2885.5	0.236756
2886	0.236939
2886.5	0.236848
2887	0.236604
2887.5	0.236634
2888	0.236665
2888.5	0.236726
2889	0.236451
2889.5	0.236421
2890	0.237062
2890.5	0.237519
2891	0.237702
2891.5	0.237916
2892	0.238008
2892.5	0.237977
2893	0.237763
2893.5	0.237641
2894	0.237885
2894.5	0.238313
2895	0.238282
2895.5	0.238191
2896	0.23813
2896.5	0.238099
2897	0.238069
2897.5	0.238038
2898	0.238038
2898.5	0.238099
2899	0.238252
2899.5	0.23813
2900	0.238099
2900.5	0.237824
2901	0.237641
2901.5	0.237702
2902	0.237458
2902.5	0.237123
2903	0.237
2903.5	0.236787
2904	0.236482
2904.5	0.235841
2905	0.234773
2905.5	0.233888
2906	0.233674
2906.5	0.233766
2907	0.23346
2907.5	0.233003
2908	0.232636
2908.5	0.232606
2909	0.233155
2909.5	0.233277
2910	0.233216
2910.5	0.233582
2911	0.234162
2911.5	0.234681
2912	0.234986
2912.5	0.2352
2913	0.235566
2913.5	0.236115
2914	0.236512
2914.5	0.236878
2915	0.237031
2915.5	0.237092
2916	0.237397
