wave291	wave292
2720.5	0.266512
2721	0.266603
2721.5	0.266787
2722	0.267092
2722.5	0.267336
2723	0.267153
2723.5	0.26697
2724	0.267183
2724.5	0.267122
2725	0.267031
2725.5	0.267183
2726	0.267122
2726.5	0.266939
2727	0.26697
2727.5	0.266787
2728	0.266665
2728.5	0.266634
2729	0.266695
2729.5	0.266817
2730	0.266787
2730.5	0.266817
2731	0.266817
2731.5	0.266939
2732	0.267061
2732.5	0.26697
2733	0.267
2733.5	0.267031
2734	0.266909
2734.5	0.266878
2735	0.266756
2735.5	0.266542
2736	0.266787
2736.5	0.267153
2737	0.266909
2737.5	0.266634
2738	0.266542
2738.5	0.266237
2739	0.266268
2739.5	0.26642
2740	0.266359
2740.5	0.266603
2741	0.266787
2741.5	0.266939
2742	0.267
2742.5	0.266787
2743	0.266298
2743.5	0.266146
2744	0.266512
2744.5	0.266634
2745	0.266634
2745.5	0.266542
2746	0.26642
2746.5	0.266542
2747	0.266481
2747.5	0.266787
2748	0.267
2748.5	0.266939
2749	0.266939
2749.5	0.267031
2750	0.267153
2750.5	0.267
2751	0.267031
2751.5	0.267061
2752	0.267
2752.5	0.266787
2753	0.266817
2753.5	0.266939
2754	0.267244
2754.5	0.267305
2755	0.267244
2755.5	0.267122
2756	0.267092
2756.5	0.26697
2757	0.266909
2757.5	0.267061
2758	0.267092
2758.5	0.267061
2759	0.267061
2759.5	0.266939
2760	0.266603
2760.5	0.266268
2761	0.266115
2761.5	0.265963
2762	0.266176
2762.5	0.266024
2763	0.265657
2763.5	0.265413
2764	0.265413
2764.5	0.26523
2765	0.265474
2765.5	0.265535
2766	0.265444
2766.5	0.265291
2767	0.265169
2767.5	0.26523
2768	0.265566
2768.5	0.265871
2769	0.26639
2769.5	0.266481
2770	0.266298
2770.5	0.266573
2771	0.266787
2771.5	0.266665
2772	0.266603
2772.5	0.266726
2773	0.266848
2773.5	0.266817
2774	0.266939
2774.5	0.266787
2775	0.266817
2775.5	0.267031
2776	0.266848
2776.5	0.266634
2777	0.266787
2777.5	0.26697
2778	0.267183
2778.5	0.267275
2779	0.267122
2779.5	0.267061
2780	0.267519
2780.5	0.267183
2781	0.267122
2781.5	0.267122
2782	0.266817
2782.5	0.26697
2783	0.267153
2783.5	0.267244
2784	0.267122
2784.5	0.267122
2785	0.267275
2785.5	0.267488
2786	0.267397
2786.5	0.267153
2787	0.266848
2787.5	0.266787
2788	0.266878
2788.5	0.267305
2789	0.26755
2789.5	0.267519
2790	0.267153
2790.5	0.267031
2791	0.266939
2791.5	0.267
2792	0.267
2792.5	0.266909
2793	0.266909
2793.5	0.267061
2794	0.267153
2794.5	0.267061
2795	0.266787
2795.5	0.266939
2796	0.267
2796.5	0.266756
2797	0.266665
2797.5	0.267061
2798	0.267336
2798.5	0.26697
2799	0.266573
2799.5	0.266634
2800	0.266603
2800.5	0.266512
2801	0.266451
2801.5	0.26642
2802	0.266298
2802.5	0.266115
2803	0.265902
2803.5	0.265688
2804	0.265352
2804.5	0.265169
2805	0.265383
2805.5	0.265352
2806	0.265047
2806.5	0.264254
2807	0.263338
2807.5	0.26285
2808	0.262239
2808.5	0.261568
2809	0.26111
2809.5	0.260805
2810	0.260622
2810.5	0.260653
2811	0.260622
2811.5	0.260836
2812	0.260958
2812.5	0.261141
2813	0.261538
2813.5	0.262148
2814	0.263063
2814.5	0.264101
2815	0.264864
2815.5	0.265169
2816	0.265322
2816.5	0.265535
2817	0.266054
2817.5	0.26639
2818	0.266481
2818.5	0.26642
2819	0.266848
2819.5	0.267397
2820	0.267244
2820.5	0.267061
2821	0.266939
2821.5	0.266787
2822	0.267
2822.5	0.267122
2823	0.267366
2823.5	0.267366
2824	0.267244
2824.5	0.267214
2825	0.267366
2825.5	0.267366
2826	0.267153
2826.5	0.267275
2827	0.267214
2827.5	0.267397
2828	0.26755
2828.5	0.267611
2829	0.267397
2829.5	0.266848
2830	0.266817
2830.5	0.267061
2831	0.267153
2831.5	0.267061
2832	0.267
2832.5	0.267
2833	0.267
2833.5	0.267092
2834	0.267244
2834.5	0.267153
2835	0.266787
2835.5	0.266268
2836	0.266512
