wave345	wave346
2720.5	0.274019
2721	0.274355
2721.5	0.274202
2722	0.27408
2722.5	0.273806
2723	0.273592
2723.5	0.273439
2724	0.273287
2724.5	0.273378
2725	0.273592
2725.5	0.273806
2726	0.273653
2726.5	0.273531
2727	0.2735
2727.5	0.273134
2728	0.272982
2728.5	0.273195
2729	0.273165
2729.5	0.27289
2730	0.27289
2730.5	0.273256
2731	0.273348
2731.5	0.2735
2732	0.273653
2732.5	0.273592
2733	0.273378
2733.5	0.273195
2734	0.273165
2734.5	0.273287
2735	0.273684
2735.5	0.273806
2736	0.273745
2736.5	0.273531
2737	0.273439
2737.5	0.273226
2738	0.273073
2738.5	0.273195
2739	0.273134
2739.5	0.273165
2740	0.273012
2740.5	0.273012
2741	0.272982
2741.5	0.272982
2742	0.273195
2742.5	0.273958
2743	0.274263
2743.5	0.274111
2744	0.273592
2744.5	0.273256
2745	0.273317
2745.5	0.273378
2746	0.2735
2746.5	0.273256
2747	0.273134
2747.5	0.273134
2748	0.273165
2748.5	0.273165
2749	0.273348
2749.5	0.273745
2750	0.273531
2750.5	0.273012
2751	0.272676
2751.5	0.272371
2752	0.272036
2752.5	0.272463
2753	0.272921
2753.5	0.273134
2754	0.272921
2754.5	0.272554
2755	0.272524
2755.5	0.272707
2756	0.272768
2756.5	0.272707
2757	0.272738
2757.5	0.272829
2758	0.272585
2758.5	0.272249
2759	0.27231
2759.5	0.272371
2760	0.272066
2760.5	0.271852
2761	0.271761
2761.5	0.271822
2762	0.271669
2762.5	0.271456
2763	0.271273
2763.5	0.27109
2764	0.27109
2764.5	0.270845
2765	0.27054
2765.5	0.270357
2766	0.270266
2766.5	0.270449
2767	0.270723
2767.5	0.270906
2768	0.270784
2768.5	0.270723
2769	0.270845
2769.5	0.271029
2770	0.270845
2770.5	0.270754
2771	0.270906
2771.5	0.271242
2772	0.271517
2772.5	0.271425
2773	0.271212
2773.5	0.271212
2774	0.271303
2774.5	0.271334
2775	0.271212
2775.5	0.270967
2776	0.271151
2776.5	0.271273
2777	0.271273
2777.5	0.271364
2778	0.271181
2778.5	0.271029
2779	0.271456
2779.5	0.271852
2780	0.271578
2780.5	0.271425
2781	0.271395
2781.5	0.271517
2782	0.271639
2782.5	0.271212
2783	0.270937
2783.5	0.270906
2784	0.270815
2784.5	0.270632
2785	0.27051
2785.5	0.270632
2786	0.270845
2786.5	0.271181
2787	0.271181
2787.5	0.270815
2788	0.270754
2788.5	0.270845
2789	0.27051
2789.5	0.270388
2790	0.27051
2790.5	0.270632
2791	0.270754
2791.5	0.270479
2792	0.270449
2792.5	0.270571
2793	0.27051
2793.5	0.270418
2794	0.270388
2794.5	0.27054
2795	0.27051
2795.5	0.270418
2796	0.270418
2796.5	0.270266
2797	0.270205
2797.5	0.269991
2798	0.269869
2798.5	0.269899
2799	0.26993
2799.5	0.270144
2800	0.270235
2800.5	0.270174
2801	0.270021
2801.5	0.269747
2802	0.269503
2802.5	0.269106
2803	0.26877
2803.5	0.268984
2804	0.268923
2804.5	0.268373
2805	0.268099
2805.5	0.267885
2806	0.267611
2806.5	0.266939
2807	0.266207
2807.5	0.265291
2808	0.264681
2808.5	0.264589
2809	0.264437
2809.5	0.263887
2810	0.263338
2810.5	0.263033
2811	0.262789
2811.5	0.263124
2812	0.263704
2812.5	0.263918
2813	0.264009
2813.5	0.264589
2814	0.265413
2814.5	0.266237
2815	0.266787
2815.5	0.267488
2816	0.268068
2816.5	0.268801
2817	0.269503
2817.5	0.269747
2818	0.269655
2818.5	0.269686
2819	0.270021
2819.5	0.270357
2820	0.270754
2820.5	0.271059
2821	0.271212
2821.5	0.271517
2822	0.271456
2822.5	0.271212
2823	0.271212
2823.5	0.271334
2824	0.271456
2824.5	0.271517
2825	0.271517
2825.5	0.271486
2826	0.271639
2826.5	0.271883
2827	0.271883
2827.5	0.271669
2828	0.271364
2828.5	0.271303
2829	0.271181
2829.5	0.271364
2830	0.271395
2830.5	0.271334
2831	0.271029
2831.5	0.270723
2832	0.270784
2832.5	0.270784
2833	0.270754
2833.5	0.270662
2834	0.270601
2834.5	0.270266
2835	0.270021
2835.5	0.269838
2836	0.26996
2836.5	0.270052
2837	0.26993
2837.5	0.269289
2838	0.268892
2838.5	0.268648
2839	0.268587
2839.5	0.268099
2840	0.267611
2840.5	0.266634
2841	0.265688
2841.5	0.264864
2842	0.26465
2842.5	0.264498
2843	0.264132
2843.5	0.263399
2844	0.262819
2844.5	0.262484
2845	0.262087
2845.5	0.261843
2846	0.261904
2846.5	0.261843
2847	0.261995
2847.5	0.262362
2848	0.262819
2848.5	0.263338
2849	0.263765
2849.5	0.264193
2850	0.264467
2850.5	0.264925
2851	0.265688
2851.5	0.266298
2852	0.266817
2852.5	0.267427
2853	0.267977
2853.5	0.268496
2854	0.268862
2854.5	0.268862
2855	0.269075
2855.5	0.269258
2856	0.269503
2856.5	0.269808
2857	0.269838
2857.5	0.269838
2858	0.269747
2858.5	0.269655
2859	0.269716
2859.5	0.269869
2860	0.26996
2860.5	0.269869
2861	0.269686
2861.5	0.269411
2862	0.268984
2862.5	0.268953
2863	0.268801
2863.5	0.268526
2864	0.268404
2864.5	0.268068
2865	0.267824
2865.5	0.267916
2866	0.268068
2866.5	0.26816
2867	0.267824
2867.5	0.267641
2868	0.267946
2868.5	0.268282
2869	0.268435
2869.5	0.268496
2870	0.268953
2870.5	0.269167
2871	0.268984
