wave324	wave325
2720.5	0.275515
2721	0.275484
2721.5	0.275301
2722	0.275331
2722.5	0.275698
2723	0.275667
2723.5	0.275576
2724	0.275667
2724.5	0.275576
2725	0.275667
2725.5	0.275881
2726	0.27582
2726.5	0.27582
2727	0.275942
2727.5	0.276003
2728	0.276064
2728.5	0.275789
2729	0.275637
2729.5	0.27585
2730	0.27582
2730.5	0.275759
2731	0.275667
2731.5	0.275637
2732	0.275698
2732.5	0.275728
2733	0.275759
2733.5	0.275576
2734	0.275667
2734.5	0.275393
2735	0.275393
2735.5	0.275484
2736	0.27582
2736.5	0.275972
2737	0.276064
2737.5	0.27585
2738	0.275728
2738.5	0.275637
2739	0.275881
2739.5	0.276217
2740	0.276094
2740.5	0.275972
2741	0.27585
2741.5	0.27585
2742	0.27585
2742.5	0.27582
2743	0.275423
2743.5	0.275454
2744	0.27527
2744.5	0.275057
2745	0.27527
2745.5	0.275362
2746	0.275209
2746.5	0.275331
2747	0.275301
2747.5	0.275454
2748	0.275667
2748.5	0.275698
2749	0.275362
2749.5	0.275148
2750	0.275545
2750.5	0.275698
2751	0.27582
2751.5	0.27582
2752	0.275637
2752.5	0.275667
2753	0.27582
2753.5	0.275545
2754	0.275637
2754.5	0.275759
2755	0.275637
2755.5	0.275637
2756	0.275301
2756.5	0.275148
2757	0.275423
2757.5	0.275393
2758	0.275087
2758.5	0.275179
2759	0.275087
2759.5	0.274965
2760	0.275148
2760.5	0.274904
2761	0.274721
2761.5	0.274569
2762	0.274446
2762.5	0.274355
2763	0.274172
2763.5	0.273867
2764	0.273806
2764.5	0.27347
2765	0.273409
2765.5	0.273439
2766	0.273623
2766.5	0.273714
2767	0.273714
2767.5	0.273714
2768	0.273928
2768.5	0.273836
2769	0.273989
2769.5	0.274263
2770	0.274538
2770.5	0.27463
2771	0.274691
2771.5	0.274965
2772	0.274904
2772.5	0.274843
2773	0.275148
2773.5	0.275118
2774	0.275301
2774.5	0.275454
2775	0.275423
2775.5	0.275179
2776	0.275148
2776.5	0.275393
2777	0.275606
2777.5	0.275362
2778	0.275484
2778.5	0.275423
2779	0.275393
2779.5	0.275301
2780	0.275148
2780.5	0.275179
2781	0.275301
2781.5	0.275331
2782	0.275209
2782.5	0.275209
2783	0.275179
2783.5	0.275209
2784	0.274996
2784.5	0.275118
2785	0.275637
2785.5	0.275545
2786	0.275454
2786.5	0.275362
2787	0.27524
2787.5	0.27527
2788	0.275301
2788.5	0.275576
2789	0.275545
2789.5	0.275789
2790	0.275728
2790.5	0.275484
2791	0.275637
2791.5	0.275698
2792	0.275606
2792.5	0.275515
2793	0.275454
2793.5	0.275515
2794	0.275759
2794.5	0.275728
2795	0.275667
2795.5	0.275637
2796	0.275637
2796.5	0.275454
2797	0.275362
2797.5	0.27527
2798	0.275301
2798.5	0.275301
2799	0.275118
2799.5	0.274782
2800	0.274569
2800.5	0.274538
2801	0.274202
2801.5	0.274019
2802	0.273836
2802.5	0.273531
2803	0.2735
2803.5	0.273256
2804	0.27289
2804.5	0.272768
2805	0.272402
2805.5	0.272005
2806	0.271334
2806.5	0.270449
2807	0.269716
2807.5	0.269197
2808	0.268862
2808.5	0.268465
2809	0.267946
2809.5	0.267641
2810	0.267427
2810.5	0.267153
2811	0.267244
2811.5	0.26755
2812	0.267916
2812.5	0.268038
2813	0.268129
2813.5	0.26874
2814	0.269289
2814.5	0.269991
2815	0.270601
2815.5	0.271395
2816	0.272219
2816.5	0.272768
2817	0.273256
2817.5	0.273623
2818	0.274019
2818.5	0.274172
2819	0.274385
2819.5	0.274446
2820	0.274477
2820.5	0.274721
2821	0.274935
2821.5	0.275057
2822	0.274935
2822.5	0.274935
2823	0.275087
2823.5	0.275515
2824	0.275637
