wave327	wave328
2720.5	0.271547
2721	0.271486
2721.5	0.271761
2722	0.27173
2722.5	0.271456
2723	0.271364
2723.5	0.271364
2724	0.271395
2724.5	0.271456
2725	0.271212
2725.5	0.270967
2726	0.271181
2726.5	0.271364
2727	0.271364
2727.5	0.271578
2728	0.271852
2728.5	0.271761
2729	0.271578
2729.5	0.271395
2730	0.271364
2730.5	0.271334
2731	0.271547
2731.5	0.271852
2732	0.271975
2732.5	0.271791
2733	0.271547
2733.5	0.271578
2734	0.271608
2734.5	0.271578
2735	0.271364
2735.5	0.271151
2736	0.271212
2736.5	0.270998
2737	0.271181
2737.5	0.271242
2738	0.271212
2738.5	0.271395
2739	0.271517
2739.5	0.271303
2740	0.271029
2740.5	0.271364
2741	0.2717
2741.5	0.271761
2742	0.271822
2742.5	0.271486
2743	0.271425
2743.5	0.271914
2744	0.272005
2744.5	0.271669
2745	0.271669
2745.5	0.271364
2746	0.271334
2746.5	0.271425
2747	0.271425
2747.5	0.271364
2748	0.27173
2748.5	0.271914
2749	0.271883
2749.5	0.27173
2750	0.271608
2750.5	0.271547
2751	0.271425
2751.5	0.271303
2752	0.271212
2752.5	0.271303
2753	0.271425
2753.5	0.271669
2754	0.271334
2754.5	0.271273
2755	0.27112
2755.5	0.271181
2756	0.271273
2756.5	0.271181
2757	0.271059
2757.5	0.27112
2758	0.271151
2758.5	0.270998
2759	0.270632
2759.5	0.270815
2760	0.270845
2760.5	0.270632
2761	0.27054
2761.5	0.270479
2762	0.270418
2762.5	0.270113
2763	0.26996
2763.5	0.269716
2764	0.269442
2764.5	0.269503
2765	0.269258
2765.5	0.268892
2766	0.268953
2766.5	0.269014
2767	0.26935
2767.5	0.269686
2768	0.269808
2768.5	0.26996
2769	0.270205
2769.5	0.270388
2770	0.270357
2770.5	0.270632
2771	0.270754
2771.5	0.270479
2772	0.270388
2772.5	0.270205
2773	0.270266
2773.5	0.27051
2774	0.270815
2774.5	0.270754
2775	0.270815
2775.5	0.270967
2776	0.27109
2776.5	0.271181
2777	0.270906
2777.5	0.270967
2778	0.270967
2778.5	0.270906
2779	0.271029
2779.5	0.271273
2780	0.271456
2780.5	0.271578
2781	0.271456
2781.5	0.271486
2782	0.271547
2782.5	0.271425
2783	0.27109
2783.5	0.270998
2784	0.271059
2784.5	0.271334
2785	0.271517
2785.5	0.271395
2786	0.271334
2786.5	0.271395
2787	0.271395
2787.5	0.271395
2788	0.27112
2788.5	0.271029
2789	0.270815
2789.5	0.270845
2790	0.27109
2790.5	0.271273
2791	0.271334
2791.5	0.271242
2792	0.271334
2792.5	0.271486
2793	0.271395
2793.5	0.271151
2794	0.270967
2794.5	0.270876
2795	0.270571
2795.5	0.270632
2796	0.270876
2796.5	0.270723
2797	0.270693
2797.5	0.270632
2798	0.270632
2798.5	0.270418
2799	0.270296
2799.5	0.270235
2800	0.270327
2800.5	0.27051
2801	0.270235
2801.5	0.269716
2802	0.269564
2802.5	0.269381
2803	0.269197
2803.5	0.26877
2804	0.268007
2804.5	0.267733
2805	0.267397
2805.5	0.266787
2806	0.266207
2806.5	0.26581
2807	0.265169
2807.5	0.264437
2808	0.263613
2808.5	0.263338
2809	0.263186
2809.5	0.263002
2810	0.262941
2810.5	0.26285
2811	0.262789
2811.5	0.262789
2812	0.262453
2812.5	0.262789
2813	0.263216
2813.5	0.263887
2814	0.26465
2814.5	0.265169
2815	0.265718
2815.5	0.266512
2816	0.267183
2816.5	0.26758
2817	0.268129
2817.5	0.268496
2818	0.269045
2818.5	0.269411
2819	0.269716
2819.5	0.270052
2820	0.270235
2820.5	0.270266
2821	0.270235
2821.5	0.270174
2822	0.270235
2822.5	0.270357
2823	0.27051
2823.5	0.270693
2824	0.270723
2824.5	0.270784
2825	0.270876
2825.5	0.270845
2826	0.270723
2826.5	0.270906
2827	0.271151
2827.5	0.27112
2828	0.271029
2828.5	0.271273
2829	0.271456
2829.5	0.271334
2830	0.271486
2830.5	0.271181
2831	0.270754
2831.5	0.270632
2832	0.270815
2832.5	0.270967
2833	0.271212
2833.5	0.271303
2834	0.271151
2834.5	0.270784
2835	0.270723
2835.5	0.270723
2836	0.270815
2836.5	0.270449
2837	0.270266
2837.5	0.270052
2838	0.269869
2838.5	0.269655
2839	0.269258
2839.5	0.269228
2840	0.269106
2840.5	0.268831
2841	0.268587
2841.5	0.267916
2842	0.267031
2842.5	0.265932
2843	0.265169
2843.5	0.264559
2844	0.264071
2844.5	0.264071
2845	0.263979
2845.5	0.263613
2846	0.263552
2846.5	0.263674
2847	0.263735
2847.5	0.263857
2848	0.264406
2848.5	0.264894
2849	0.265413
2849.5	0.266085
2850	0.266695
2850.5	0.267183
2851	0.267855
2851.5	0.268496
2852	0.269197
2852.5	0.269747
2853	0.269991
2853.5	0.26996
2854	0.270235
2854.5	0.270327
2855	0.270418
2855.5	0.270723
2856	0.270662
2856.5	0.27051
2857	0.270479
2857.5	0.27051
2858	0.27054
2858.5	0.270632
2859	0.270479
2859.5	0.27054
2860	0.270632
2860.5	0.270693
2861	0.27054
2861.5	0.270205
2862	0.270021
2862.5	0.269838
2863	0.269472
2863.5	0.269075
2864	0.268801
2864.5	0.268618
2865	0.268526
2865.5	0.268435
2866	0.268251
2866.5	0.267855
2867	0.268099
2867.5	0.268618
2868	0.268984
2868.5	0.268862
2869	0.268862
2869.5	0.269014
2870	0.269228
2870.5	0.269533
2871	0.269747
2871.5	0.269625
2872	0.269899
2872.5	0.270357
2873	0.270632
2873.5	0.270845
2874	0.270998
2874.5	0.27109
2875	0.270967
2875.5	0.270845
2876	0.270937
2876.5	0.270937
2877	0.271334
2877.5	0.271303
2878	0.27112
2878.5	0.271029
2879	0.271029
2879.5	0.271029
2880	0.271029
2880.5	0.270815
2881	0.270845
2881.5	0.270723
2882	0.27054
2882.5	0.270327
2883	0.270418
2883.5	0.270418
2884	0.270357
2884.5	0.269899
2885	0.26935
2885.5	0.268618
2886	0.268282
2886.5	0.26877
2887	0.268801
2887.5	0.26874
2888	0.268587
2888.5	0.268679
2889	0.26874
2889.5	0.268862
2890	0.269228
2890.5	0.269899
2891	0.270052
2891.5	0.269899
2892	0.269808
2892.5	0.269625
2893	0.269838
2893.5	0.270174
2894	0.270266
2894.5	0.270601
2895	0.27054
2895.5	0.27051
2896	0.27054
2896.5	0.270845
2897	0.270662
2897.5	0.270479
2898	0.270449
2898.5	0.270479
2899	0.270449
2899.5	0.270296
2900	0.26993
2900.5	0.269381
2901	0.269197
2901.5	0.269197
2902	0.268862
2902.5	0.268435
2903	0.268068
2903.5	0.26758
2904	0.266817
2904.5	0.265749
2905	0.264986
2905.5	0.264162
2906	0.263552
2906.5	0.263308
2907	0.263399
2907.5	0.263277
2908	0.263094
2908.5	0.262972
2909	0.262728
2909.5	0.262972
2910	0.263643
2910.5	0.264223
2911	0.264742
2911.5	0.265505
2912	0.265993
2912.5	0.26642
2913	0.266939
2913.5	0.26758
2914	0.268068
2914.5	0.268373
2915	0.268709
2915.5	0.268984
2916	0.268953
2916.5	0.269167
2917	0.269564
2917.5	0.26993
2918	0.270021
2918.5	0.270021
2919	0.269991
2919.5	0.26996
2920	0.270052
2920.5	0.269869
2921	0.269838
2921.5	0.270235
2922	0.270144
2922.5	0.270174
2923	0.270144
2923.5	0.270205
2924	0.270113
2924.5	0.269838
2925	0.269686
2925.5	0.269686
2926	0.269564
2926.5	0.269655
2927	0.269808
2927.5	0.270052
2928	0.269838
2928.5	0.269686
2929	0.269503
2929.5	0.269228
2930	0.269197
2930.5	0.268862
2931	0.268648
2931.5	0.268373
2932	0.268099
2932.5	0.267885
2933	0.267702
2933.5	0.267519
2934	0.267366
2934.5	0.267
2935	0.266573
2935.5	0.265841
2936	0.265139
2936.5	0.264284
2937	0.263826
2937.5	0.263369
2938	0.262972
2938.5	0.262545
2939	0.261995
2939.5	0.261965
2940	0.261934
2940.5	0.262453
2941	0.262636
2941.5	0.26285
2942	0.263308
2942.5	0.263918
2943	0.26462
2943.5	0.265352
2944	0.265932
2944.5	0.26642
2945	0.266817
2945.5	0.267427
2946	0.267824
2946.5	0.268251
2947	0.268465
2947.5	0.268923
2948	0.269228
2948.5	0.269106
2949	0.269197
2949.5	0.269228
2950	0.269381
2950.5	0.269381
2951	0.269411
2951.5	0.269564
2952	0.269808
2952.5	0.26996
2953	0.269899
2953.5	0.270296
2954	0.270449
2954.5	0.270113
2955	0.270296
2955.5	0.27054
2956	0.270449
2956.5	0.270388
2957	0.270601
2957.5	0.270479
2958	0.270388
2958.5	0.27051
2959	0.270479
2959.5	0.270357
2960	0.270449
2960.5	0.270754
2961	0.270784
2961.5	0.270754
2962	0.270723
2962.5	0.270845
2963	0.270998
2963.5	0.270906
2964	0.270571
2964.5	0.270571
2965	0.270601
2965.5	0.270449
2966	0.270479
2966.5	0.270571
2967	0.270327
2967.5	0.270266
2968	0.270296
2968.5	0.270144
2969	0.26996
2969.5	0.270113
2970	0.270296
2970.5	0.270205
2971	0.269899
2971.5	0.269472
2972	0.269289
