wave306	wave307
2720.5	0.271364
2721	0.271425
2721.5	0.271517
2722	0.271425
2722.5	0.271364
2723	0.271364
2723.5	0.271669
2724	0.271639
2724.5	0.271242
2725	0.270937
2725.5	0.271059
2726	0.271334
2726.5	0.271212
2727	0.270906
2727.5	0.270967
2728	0.271151
2728.5	0.271425
2729	0.271517
2729.5	0.271578
2730	0.271822
2730.5	0.272036
2731	0.271669
2731.5	0.271273
2732	0.271029
2732.5	0.271029
2733	0.271151
2733.5	0.271364
2734	0.271303
2734.5	0.271395
2735	0.271456
2735.5	0.271364
2736	0.271364
2736.5	0.271395
2737	0.271395
2737.5	0.271517
2738	0.2717
2738.5	0.271517
2739	0.271486
2739.5	0.271456
2740	0.27112
2740.5	0.271029
2741	0.270937
2741.5	0.270784
2742	0.270601
2742.5	0.270723
2743	0.270815
2743.5	0.270937
2744	0.271151
2744.5	0.271425
2745	0.271517
2745.5	0.271364
2746	0.27112
2746.5	0.271181
2747	0.271303
2747.5	0.271303
2748	0.271029
2748.5	0.270937
2749	0.270876
2749.5	0.270723
2750	0.270906
2750.5	0.270937
2751	0.270967
2751.5	0.271059
2752	0.271029
2752.5	0.270937
2753	0.270815
2753.5	0.270998
2754	0.271029
2754.5	0.270967
2755	0.270815
2755.5	0.270845
2756	0.27109
2756.5	0.270754
2757	0.270479
2757.5	0.270174
2758	0.270205
2758.5	0.270266
2759	0.270327
2759.5	0.270357
2760	0.270266
2760.5	0.27051
2761	0.270449
2761.5	0.270296
2762	0.269899
2762.5	0.269808
2763	0.269411
2763.5	0.268923
2764	0.26874
2764.5	0.268526
2765	0.268587
2765.5	0.269106
2766	0.269289
2766.5	0.269167
2767	0.269289
2767.5	0.26932
2768	0.269381
2768.5	0.269381
2769	0.269686
2769.5	0.270021
2770	0.270449
2770.5	0.270418
2771	0.270357
2771.5	0.270479
2772	0.270327
2772.5	0.27051
2773	0.270845
2773.5	0.270601
2774	0.270449
2774.5	0.270113
2775	0.269838
2775.5	0.269808
2776	0.270113
2776.5	0.270418
2777	0.270601
2777.5	0.270754
2778	0.270601
2778.5	0.270479
2779	0.270449
2779.5	0.270174
2780	0.269991
2780.5	0.270082
2781	0.270205
2781.5	0.270174
2782	0.270113
2782.5	0.270021
2783	0.270174
2783.5	0.270296
2784	0.27054
2784.5	0.270632
2785	0.270388
2785.5	0.270388
2786	0.270357
2786.5	0.270357
2787	0.27051
2787.5	0.270479
2788	0.270571
2788.5	0.270571
2789	0.270479
2789.5	0.27054
2790	0.270418
2790.5	0.270144
2791	0.270052
2791.5	0.270296
2792	0.270571
2792.5	0.270754
2793	0.270601
2793.5	0.270479
2794	0.270418
2794.5	0.270052
2795	0.26996
2795.5	0.270021
2796	0.269838
2796.5	0.270052
2797	0.270357
2797.5	0.270357
2798	0.270571
2798.5	0.270906
2799	0.271029
2799.5	0.270937
2800	0.270632
2800.5	0.270479
2801	0.270021
2801.5	0.269869
2802	0.269747
2802.5	0.26993
2803	0.269991
2803.5	0.269808
2804	0.269869
2804.5	0.269625
2805	0.269381
2805.5	0.269228
2806	0.269167
2806.5	0.268679
2807	0.267885
2807.5	0.26697
2808	0.266115
2808.5	0.265688
2809	0.265932
2809.5	0.265963
2810	0.265688
2810.5	0.265505
2811	0.265932
2811.5	0.266237
2812	0.265932
2812.5	0.265505
2813	0.265596
2813.5	0.266573
2814	0.267641
2814.5	0.268373
2815	0.268923
2815.5	0.269228
2816	0.269503
2816.5	0.269777
2817	0.269869
2817.5	0.26996
2818	0.26993
2818.5	0.26993
2819	0.270113
2819.5	0.269838
2820	0.269838
2820.5	0.270235
2821	0.270449
2821.5	0.270601
2822	0.270357
2822.5	0.270113
2823	0.26993
2823.5	0.270052
2824	0.270479
2824.5	0.270601
2825	0.27054
2825.5	0.270479
2826	0.270296
2826.5	0.270235
2827	0.270235
2827.5	0.270113
2828	0.270174
2828.5	0.270235
2829	0.270357
2829.5	0.270082
2830	0.270021
2830.5	0.270235
2831	0.270418
2831.5	0.270388
2832	0.270296
2832.5	0.270632
2833	0.270479
2833.5	0.270632
2834	0.270662
2834.5	0.270723
2835	0.270723
2835.5	0.270601
2836	0.270205
2836.5	0.270021
2837	0.269899
2837.5	0.269991
2838	0.269899
2838.5	0.269655
