wave348	wave349
2720.5	0.271151
2721	0.271212
2721.5	0.270937
2722	0.27112
2722.5	0.271364
2723	0.271395
2723.5	0.271578
2724	0.271578
2724.5	0.271639
2725	0.271608
2725.5	0.272097
2726	0.272158
2726.5	0.272188
2727	0.27228
2727.5	0.272005
2728	0.27173
2728.5	0.271883
2729	0.271822
2729.5	0.271578
2730	0.271791
2730.5	0.271761
2731	0.271669
2731.5	0.271761
2732	0.272066
2732.5	0.272341
2733	0.272219
2733.5	0.272249
2734	0.272097
2734.5	0.272097
2735	0.272188
2735.5	0.272066
2736	0.272158
2736.5	0.272005
2737	0.271883
2737.5	0.271852
2738	0.271883
2738.5	0.272036
2739	0.272127
2739.5	0.272005
2740	0.272097
2740.5	0.272402
2741	0.272402
2741.5	0.27228
2742	0.271883
2742.5	0.271303
2743	0.271669
2743.5	0.271852
2744	0.271517
2744.5	0.271517
2745	0.271425
2745.5	0.271212
2746	0.271334
2746.5	0.271852
2747	0.271852
2747.5	0.271486
2748	0.271547
2748.5	0.271639
2749	0.271822
2749.5	0.272005
2750	0.271883
2750.5	0.271761
2751	0.271486
2751.5	0.271578
2752	0.271852
2752.5	0.27173
2753	0.271517
2753.5	0.271273
2754	0.271029
2754.5	0.270906
2755	0.271029
2755.5	0.271151
2756	0.27109
2756.5	0.270998
2757	0.27112
2757.5	0.27112
2758	0.27112
2758.5	0.271151
2759	0.270723
2759.5	0.270601
2760	0.270601
2760.5	0.270571
2761	0.270082
2761.5	0.269503
2762	0.269533
2762.5	0.269594
2763	0.269411
2763.5	0.269228
2764	0.269106
2764.5	0.268953
2765	0.268557
2765.5	0.26877
2766	0.269045
2766.5	0.268862
2767	0.268435
2767.5	0.268465
2768	0.26877
2768.5	0.269075
2769	0.269228
2769.5	0.269625
2770	0.270113
2770.5	0.270266
2771	0.270021
2771.5	0.270113
2772	0.270357
2772.5	0.270601
2773	0.271029
2773.5	0.27109
2774	0.270937
2774.5	0.270906
2775	0.271181
2775.5	0.271273
2776	0.271273
2776.5	0.271273
2777	0.271029
2777.5	0.270693
2778	0.270723
2778.5	0.27112
2779	0.270967
2779.5	0.270845
2780	0.270937
2780.5	0.270937
2781	0.271029
2781.5	0.27112
2782	0.271242
2782.5	0.271364
2783	0.271395
2783.5	0.271517
2784	0.271517
2784.5	0.271334
2785	0.270845
2785.5	0.270845
2786	0.271151
2786.5	0.27109
2787	0.27109
2787.5	0.270723
2788	0.270449
2788.5	0.270723
2789	0.271242
2789.5	0.271395
2790	0.271425
2790.5	0.271334
2791	0.270998
2791.5	0.270998
2792	0.271547
2792.5	0.271242
2793	0.271029
2793.5	0.270754
2794	0.270571
2794.5	0.270967
2795	0.271273
2795.5	0.27109
2796	0.270815
2796.5	0.270815
2797	0.270601
2797.5	0.270601
2798	0.270418
2798.5	0.26993
2799	0.26996
2799.5	0.269991
2800	0.269655
2800.5	0.269442
2801	0.269442
2801.5	0.269106
2802	0.268282
2802.5	0.268129
2803	0.268068
2803.5	0.267611
2804	0.267305
2804.5	0.267
2805	0.266512
2805.5	0.266024
2806	0.265688
2806.5	0.265139
2807	0.264589
2807.5	0.26404
2808	0.263399
2808.5	0.262972
2809	0.262545
2809.5	0.262667
2810	0.262484
2810.5	0.262453
2811	0.262392
2811.5	0.262453
2812	0.262392
2812.5	0.262667
2813	0.26343
2813.5	0.264467
2814	0.264956
2814.5	0.265139
2815	0.265352
2815.5	0.265779
2816	0.266634
2816.5	0.267397
2817	0.267763
2817.5	0.268129
2818	0.268679
2818.5	0.268892
2819	0.269289
2819.5	0.270021
2820	0.270784
2820.5	0.270784
2821	0.270723
2821.5	0.270571
2822	0.270662
2822.5	0.270662
2823	0.270876
2823.5	0.27109
2824	0.27109
2824.5	0.271059
2825	0.270998
2825.5	0.271181
2826	0.271029
2826.5	0.270784
2827	0.270967
2827.5	0.271181
2828	0.271334
2828.5	0.271425
2829	0.271456
2829.5	0.271395
2830	0.271212
2830.5	0.271029
2831	0.271181
2831.5	0.271029
2832	0.270845
2832.5	0.270967
2833	0.271029
2833.5	0.271059
2834	0.270967
2834.5	0.270998
2835	0.271212
2835.5	0.271273
2836	0.270998
2836.5	0.270906
2837	0.270845
2837.5	0.270754
2838	0.270174
2838.5	0.269686
2839	0.269869
2839.5	0.270082
2840	0.269716
2840.5	0.26932
2841	0.268648
2841.5	0.267885
2842	0.267336
2842.5	0.266634
2843	0.265871
2843.5	0.265017
2844	0.264437
2844.5	0.264071
2845	0.263857
2845.5	0.263674
2846	0.263369
2846.5	0.263857
2847	0.264254
2847.5	0.264498
2848	0.264864
2848.5	0.265322
2849	0.266146
2849.5	0.266909
2850	0.267488
2850.5	0.268038
2851	0.268587
2851.5	0.269045
2852	0.269503
2852.5	0.269655
2853	0.270174
2853.5	0.270418
2854	0.270571
2854.5	0.270693
2855	0.270662
2855.5	0.270601
2856	0.270662
2856.5	0.270662
2857	0.270845
2857.5	0.27109
2858	0.27112
2858.5	0.27109
2859	0.271059
2859.5	0.270723
2860	0.270937
2860.5	0.270845
2861	0.270967
2861.5	0.271029
2862	0.270784
2862.5	0.270205
2863	0.270021
2863.5	0.269869
2864	0.269472
2864.5	0.269442
2865	0.269228
2865.5	0.268984
2866	0.26874
2866.5	0.268801
2867	0.269045
2867.5	0.269228
2868	0.268923
2868.5	0.268709
2869	0.268648
2869.5	0.269045
2870	0.269564
2870.5	0.270144
2871	0.270449
2871.5	0.27054
2872	0.270479
2872.5	0.270723
2873	0.271334
2873.5	0.271273
2874	0.270937
2874.5	0.271181
2875	0.271242
2875.5	0.271364
2876	0.271517
2876.5	0.271486
2877	0.271639
2877.5	0.271822
2878	0.271822
2878.5	0.271486
2879	0.271273
2879.5	0.27112
2880	0.271273
2880.5	0.271395
2881	0.271273
2881.5	0.27109
2882	0.270967
2882.5	0.270845
