wave351	wave352
2720.5	0.273653
2721	0.273806
2721.5	0.273897
2722	0.273714
2722.5	0.273684
2723	0.273592
2723.5	0.273378
2724	0.273317
2724.5	0.273348
2725	0.273348
2725.5	0.2735
2726	0.273409
2726.5	0.273531
2727	0.273806
2727.5	0.273836
2728	0.273561
2728.5	0.273623
2729	0.273714
2729.5	0.273378
2730	0.273561
2730.5	0.273561
2731	0.273653
2731.5	0.273867
2732	0.273897
2732.5	0.273684
2733	0.273745
2733.5	0.273714
2734	0.273531
2734.5	0.273378
2735	0.273531
2735.5	0.273775
2736	0.27408
2736.5	0.273928
2737	0.273836
2737.5	0.274019
2738	0.27408
2738.5	0.273714
2739	0.273623
2739.5	0.273653
2740	0.273775
2740.5	0.273623
2741	0.273989
2741.5	0.273958
2742	0.273714
2742.5	0.2735
2743	0.273928
2743.5	0.274111
2744	0.273867
2744.5	0.273806
2745	0.274141
2745.5	0.27405
2746	0.274019
2746.5	0.273836
2747	0.273684
2747.5	0.273928
2748	0.273745
2748.5	0.273592
2749	0.273836
2749.5	0.27405
2750	0.273989
2750.5	0.27408
2751	0.274233
2751.5	0.274172
2752	0.273867
2752.5	0.273714
2753	0.273623
2753.5	0.273623
2754	0.273409
2754.5	0.27347
2755	0.273592
2755.5	0.273531
2756	0.273256
2756.5	0.273439
2757	0.27347
2757.5	0.273561
2758	0.273561
2758.5	0.273226
2759	0.273073
2759.5	0.272799
2760	0.272615
2760.5	0.272615
2761	0.272768
2761.5	0.272524
2762	0.272188
2762.5	0.272249
2763	0.272005
2763.5	0.271883
2764	0.271914
2764.5	0.271791
2765	0.271608
2765.5	0.271303
2766	0.271242
2766.5	0.27112
2767	0.271181
2767.5	0.271547
2768	0.2717
2768.5	0.271181
2769	0.271334
2769.5	0.272188
2770	0.272615
2770.5	0.272524
2771	0.272554
2771.5	0.272646
2772	0.272921
2772.5	0.272921
2773	0.272829
2773.5	0.272768
2774	0.272799
2774.5	0.27289
2775	0.272951
2775.5	0.273226
2776	0.27347
2776.5	0.273531
2777	0.273653
2777.5	0.273439
2778	0.273439
2778.5	0.273531
2779	0.273684
2779.5	0.273867
2780	0.273928
2780.5	0.273684
2781	0.273348
2781.5	0.273104
2782	0.273134
2782.5	0.273348
2783	0.273561
2783.5	0.273653
2784	0.273928
2784.5	0.274111
2785	0.273989
2785.5	0.273623
2786	0.273531
2786.5	0.27347
2787	0.273928
2787.5	0.274111
2788	0.273928
2788.5	0.273684
2789	0.273561
2789.5	0.273378
2790	0.273256
2790.5	0.273317
2791	0.273531
2791.5	0.27347
2792	0.273378
2792.5	0.273531
2793	0.27347
2793.5	0.27347
2794	0.273073
2794.5	0.273012
2795	0.273195
2795.5	0.273348
2796	0.273317
2796.5	0.273012
2797	0.27289
2797.5	0.272829
2798	0.27286
2798.5	0.27286
2799	0.272676
2799.5	0.272402
2800	0.272066
2800.5	0.272036
2801	0.271547
2801.5	0.271425
2802	0.271303
2802.5	0.271273
2803	0.271364
2803.5	0.270754
2804	0.270174
2804.5	0.269747
2805	0.26935
2805.5	0.268984
2806	0.268831
2806.5	0.268343
2807	0.267519
2807.5	0.266817
2808	0.266237
2808.5	0.266237
2809	0.266268
2809.5	0.265657
2810	0.265047
2810.5	0.264925
2811	0.26523
2811.5	0.265657
2812	0.265902
2812.5	0.266207
2813	0.266512
2813.5	0.266756
2814	0.267183
2814.5	0.267733
2815	0.26819
2815.5	0.268648
2816	0.269136
2816.5	0.269838
2817	0.270723
2817.5	0.271242
2818	0.271639
2818.5	0.271883
2819	0.272188
2819.5	0.272524
2820	0.272738
2820.5	0.272585
2821	0.272799
2821.5	0.273012
2822	0.272951
2822.5	0.273226
2823	0.273165
2823.5	0.273561
2824	0.273714
2824.5	0.273592
2825	0.273256
2825.5	0.273531
2826	0.273439
2826.5	0.2735
2827	0.273714
2827.5	0.273867
2828	0.273928
2828.5	0.273928
2829	0.273714
2829.5	0.27347
2830	0.273531
2830.5	0.274111
2831	0.274569
2831.5	0.274477
2832	0.27408
2832.5	0.273897
2833	0.273806
2833.5	0.273745
2834	0.273561
2834.5	0.273531
2835	0.273531
2835.5	0.273439
2836	0.27347
2836.5	0.273165
2837	0.272646
2837.5	0.27228
2838	0.272066
2838.5	0.271791
2839	0.271669
2839.5	0.2717
2840	0.271456
2840.5	0.270845
2841	0.270296
2841.5	0.26932
2842	0.268709
2842.5	0.268221
2843	0.267488
2843.5	0.266726
2844	0.266268
2844.5	0.265963
2845	0.265627
2845.5	0.265566
2846	0.265596
2846.5	0.265596
2847	0.265932
2847.5	0.266024
2848	0.266146
2848.5	0.266451
2849	0.267366
2849.5	0.268404
2850	0.268923
2850.5	0.269228
2851	0.270205
2851.5	0.271273
2852	0.271547
2852.5	0.271517
2853	0.272005
2853.5	0.272676
2854	0.272646
2854.5	0.272402
2855	0.272524
2855.5	0.272829
2856	0.272799
2856.5	0.272799
2857	0.272585
2857.5	0.272585
2858	0.272707
2858.5	0.272799
2859	0.272982
2859.5	0.273012
2860	0.273165
2860.5	0.273104
2861	0.272615
2861.5	0.272341
2862	0.272402
2862.5	0.272341
2863	0.272005
2863.5	0.2717
2864	0.271486
2864.5	0.271273
2865	0.271181
2865.5	0.271395
2866	0.271425
2866.5	0.271029
2867	0.270784
2867.5	0.271029
2868	0.271181
2868.5	0.271181
2869	0.271425
2869.5	0.271303
2870	0.271578
2870.5	0.272371
2871	0.273226
2871.5	0.27347
2872	0.273836
2872.5	0.273867
2873	0.273806
2873.5	0.273775
2874	0.2735
2874.5	0.2735
2875	0.2735
2875.5	0.2735
2876	0.273684
2876.5	0.273806
2877	0.273745
2877.5	0.273592
2878	0.273561
2878.5	0.273745
2879	0.274111
2879.5	0.273928
2880	0.273867
2880.5	0.273958
2881	0.273775
2881.5	0.273684
2882	0.273775
2882.5	0.273409
2883	0.272982
2883.5	0.273226
2884	0.273073
2884.5	0.272554
2885	0.27228
2885.5	0.272036
2886	0.27173
2886.5	0.271669
2887	0.271486
2887.5	0.271181
2888	0.271303
2888.5	0.271639
2889	0.271761
2889.5	0.271852
2890	0.271914
2890.5	0.27231
2891	0.272402
2891.5	0.272707
2892	0.272768
2892.5	0.272738
2893	0.272799
2893.5	0.273104
2894	0.273378
2894.5	0.273531
2895	0.273256
2895.5	0.273104
2896	0.273378
2896.5	0.273592
2897	0.273836
2897.5	0.273684
2898	0.273531
2898.5	0.273531
2899	0.273684
2899.5	0.2735
2900	0.273195
2900.5	0.272707
2901	0.272463
