wave333	wave334
2720.5	0.25577
2721	0.255678
2721.5	0.255678
2722	0.255342
2722.5	0.255281
2723	0.255404
2723.5	0.255404
2724	0.255312
2724.5	0.255342
2725	0.255434
2725.5	0.255556
2726	0.255556
2726.5	0.255556
2727	0.255404
2727.5	0.255281
2728	0.255465
2728.5	0.255587
2729	0.255831
2729.5	0.255648
2730	0.255648
2730.5	0.255434
2731	0.255556
2731.5	0.255739
2732	0.255495
2732.5	0.255617
2733	0.255556
2733.5	0.255587
2734	0.255556
2734.5	0.255709
2735	0.255617
2735.5	0.255648
2736	0.256014
2736.5	0.255831
2737	0.255739
2737.5	0.255434
2738	0.255556
2738.5	0.256075
2739	0.256105
2739.5	0.255922
2740	0.255739
2740.5	0.255678
2741	0.255434
2741.5	0.255526
2742	0.255587
2742.5	0.255373
2743	0.255465
2743.5	0.255556
2744	0.255465
2744.5	0.255281
2745	0.255587
2745.5	0.255678
2746	0.255617
2746.5	0.255617
2747	0.255434
2747.5	0.255495
2748	0.255617
2748.5	0.255739
2749	0.255587
2749.5	0.255373
2750	0.255129
2750.5	0.25522
2751	0.255159
2751.5	0.255251
2752	0.255465
2752.5	0.255556
2753	0.255709
2753.5	0.256075
2754	0.256075
2754.5	0.25577
2755	0.255648
2755.5	0.255892
2756	0.255648
2756.5	0.255373
2757	0.255556
2757.5	0.25577
2758	0.255953
2758.5	0.25577
2759	0.2558
2759.5	0.256075
2760	0.255953
2760.5	0.25577
2761	0.255617
2761.5	0.255587
2762	0.255465
2762.5	0.255251
2763	0.255037
2763.5	0.254915
2764	0.25522
2764.5	0.255281
2765	0.255129
2765.5	0.255007
2766	0.255281
2766.5	0.255068
2767	0.254641
2767.5	0.254702
2768	0.255068
2768.5	0.255312
2769	0.255587
2769.5	0.2558
2770	0.255922
2770.5	0.256258
2771	0.256319
2771.5	0.256319
2772	0.256136
2772.5	0.255983
2773	0.256014
2773.5	0.25638
2774	0.256655
2774.5	0.256655
2775	0.25635
2775.5	0.256014
2776	0.256014
2776.5	0.256258
2777	0.256136
2777.5	0.256319
2778	0.256227
2778.5	0.255983
2779	0.255953
2779.5	0.255922
2780	0.255892
2780.5	0.255922
2781	0.255953
2781.5	0.255709
2782	0.255617
2782.5	0.255648
2783	0.255648
2783.5	0.255983
2784	0.256136
2784.5	0.256044
2785	0.255983
2785.5	0.255892
2786	0.255831
2786.5	0.255526
2787	0.255678
2787.5	0.255953
2788	0.255892
2788.5	0.256014
2789	0.256197
2789.5	0.255953
2790	0.2558
2790.5	0.255983
2791	0.255922
2791.5	0.255953
2792	0.256014
2792.5	0.256014
2793	0.255892
2793.5	0.255739
2794	0.255373
2794.5	0.255251
2795	0.255434
2795.5	0.255739
2796	0.256166
2796.5	0.256594
2797	0.256655
2797.5	0.256197
2798	0.256136
2798.5	0.255861
2799	0.255983
2799.5	0.256105
2800	0.255953
2800.5	0.256044
2801	0.256166
2801.5	0.255922
2802	0.255465
2802.5	0.255465
2803	0.255465
2803.5	0.255404
2804	0.255068
2804.5	0.25519
2805	0.25522
2805.5	0.254976
2806	0.255312
2806.5	0.255465
